Institution_Code,Institution_Name,RI_Fiscal_Year,RI_Unit_ID,RI_Unit_Name,RI_Unit_Type,RI_Unit_Year,RI_Unit_FORD,RI_Unit_Priority,Unit_Description,Annual_expenditure,Funding_Source,Collaborating_Entities,Unit_City,Unit_Head,Contact_Email,Contact_Phone,Contact_Email,Contact_Phone,Contact_Website,Last_Updated
79,University of Sharjah,2025,RC1023,Sultan Al Mazrouei,Online,2024,"2.1, 3.5, 5.3",E0,This is a detailed description of the project focusing on quality.,56,"G, HEI","Ministry of Artificial Intelligence, Borouge",Sharjah,Dr. Ahmed Al Mansoori,salem.al.mehairbi930@institution.ac.ae,+9710549744101,salem.al.mehairbi930@institution.ac.ae,+9710549744101,+9710509695472,2023-03-16
77,Khalifa University,2025,RC1023,Sheikha Al Mehairbi,Online,2024,"2.1, 3.5, 5.3",E0,This is a detailed description of the research focusing on excellence.,38,"G, HEI","Ministry of Artificial Intelligence, Borouge",Abu Dhabi,Dr. Ahmed Al Mansoori,sultan.khan310@institution.ac.ae,+9710526041559,sultan.khan310@institution.ac.ae,+9710526041559,+9710559099914,2023-05-16
82,American University in Dubai,2024,RC1023,Saeed Patel,Online,2025,"2.1, 3.5, 5.3",E0,This is a detailed description of the project focusing on quality.,65,"G, HEI","Ministry of Artificial Intelligence, Borouge",Abu Dhabi,Dr. Ahmed Al Mansoori,maitha.al.dhaheri135@institution.ac.ae,+9710547228893,maitha.al.dhaheri135@institution.ac.ae,+9710547228893,+9710567680359,2024-05-16
84,Dubai Medical College,2025,RC1023,Sheikha Al Dhaheri,Part-time,2025,"2.1, 3.5, 5.3",E0,This is a detailed description of the program focusing on innovation.,93,"G, HEI","Ministry of Artificial Intelligence, Borouge",Sharjah,Dr. Ahmed Al Mansoori,sultan.patel206@institution.ac.ae,+9710568966380,sultan.patel206@institution.ac.ae,+9710568966380,+9710587405225,2024-04-29
75,United Arab Emirates University,2024,RC1023,Maryam Patel,Part-time,2025,"2.1, 3.5, 5.3",E0,This is a detailed description of the course focusing on quality.,44,"G, HEI","Ministry of Artificial Intelligence, Borouge",Sharjah,Dr. Ahmed Al Mansoori,aisha.singh101@institution.ac.ae,+9710566391262,aisha.singh101@institution.ac.ae,+9710566391262,+9710525448854,2021-01-07
84,Dubai Medical College,2025,RC1023,Ahmed Al Dhaheri,Online,2025,"2.1, 3.5, 5.3",E0,This is a detailed description of the project focusing on development.,39,"G, HEI","Ministry of Artificial Intelligence, Borouge",Abu Dhabi,Dr. Ahmed Al Mansoori,amna.hassan531@institution.ac.ae,+9710523048285,amna.hassan531@institution.ac.ae,+9710523048285,+9710555617923,2023-09-26
82,American University in Dubai,2025,RC1023,Omar Al Dhaheri,Online,2025,"2.1, 3.5, 5.3",E0,This is a detailed description of the project focusing on development.,41,"G, HEI","Ministry of Artificial Intelligence, Borouge",Umm Al Quwain,Dr. Ahmed Al Mansoori,sara.al.shamsi566@institution.ac.ae,+9710555413101,sara.al.shamsi566@institution.ac.ae,+9710555413101,+9710553721156,2020-10-29
81,Ajman University,2024,RC1023,Noor Al Shamsi,Part-time,2025,"2.1, 3.5, 5.3",E0,This is a detailed description of the course focusing on quality.,15,"G, HEI","Ministry of Artificial Intelligence, Borouge",Dubai,Dr. Ahmed Al Mansoori,mohammed.al.zaabi870@institution.ac.ae,+9710501525818,mohammed.al.zaabi870@institution.ac.ae,+9710501525818,+9710502618348,2024-02-05
80,Abu Dhabi University,2026,RC1023,Aisha Al Mansoori,Online,2024,"2.1, 3.5, 5.3",E0,This is a detailed description of the program focusing on development.,54,"G, HEI","Ministry of Artificial Intelligence, Borouge",Ras Al Khaimah,Dr. Ahmed Al Mansoori,amna.patel793@institution.ac.ae,+9710587997972,amna.patel793@institution.ac.ae,+9710587997972,+9710562052283,2025-07-06
77,Khalifa University,2024,RC1023,Fatima Patel,Part-time,2024,"2.1, 3.5, 5.3",E0,This is a detailed description of the research focusing on excellence.,3,"G, HEI","Ministry of Artificial Intelligence, Borouge",Sharjah,Dr. Ahmed Al Mansoori,ali.al.mansoori210@institution.ac.ae,+9710587775156,ali.al.mansoori210@institution.ac.ae,+9710587775156,+9710589691266,2021-10-09
80,Abu Dhabi University,2025,RC1023,Amna Al Nuaimi,Part-time,2025,"2.1, 3.5, 5.3",E0,This is a detailed description of the project focusing on excellence.,94,"G, HEI","Ministry of Artificial Intelligence, Borouge",Dubai,Dr. Ahmed Al Mansoori,noor.singh471@institution.ac.ae,+9710556843973,noor.singh471@institution.ac.ae,+9710556843973,+9710558842702,2020-01-25
