SR_Institution_Code,SR_Institution_Name,SR_Academic_Period,SR_Student_ID,SR_Student_Name_English,SR_Student_Type,SR_1st_Academic_Period,SR_Student_Level,SR_Student_Degree,SR_Area_of_Specialization,SR_Student_Major,SR_Minor,SR_Program_Code,SR_Mode_of_Study,SR_Type_of_Research,SR_scholarly,SR_Intl_partner,SR_Intl_Super_Name,SR_Research_Topic,SR_Research_Area,SR_ORCID,Impact_ indexed publication,Impact_Registered_IP,Impact_Competitions,Impact_scholarship,Impact_policy,Impact_Govt,Impact_revenue,Impact_Spinoff,Impact_public,Impact_education,Impact_media,Last_Updated
75,United Arab Emirates University,202503,STU202479444,Shamma Al Mehairbi,Part-time,202503,FR,MA,09,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Amna Al Mehairbi,Efficacy and Differentiation of Instruction,10,7142-5536-9709-1907,Y,N,Y,7554592.77,C,N,9533677.91,N,N,N,N,2021-03-09
80,Abu Dhabi University,202503,STU202054651,Noor Al Mehairbi,Online,202503,FR,CRT,50,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Ali Hassan,Efficacy and Differentiation of Instruction,95,4601-6589-2643-5932,Y,N,Y,4240045.34,C,N,2096294.13,N,N,N,N,2023-02-18
76,Zayed University,202403,STU202480972,Abdullah Al Kaabi,Full-time,202403,FR,MS,40,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Mohammed Al Mehairbi,Efficacy and Differentiation of Instruction,89,1894-7320-2391-8802,Y,N,Y,6665348.67,C,N,4110728.7,N,N,N,N,2024-05-04
78,American University of Sharjah,202501,STU202330209,Noor Al Dhaheri,Online,202501,FR,BS,24,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Omar Khan,Efficacy and Differentiation of Instruction,15,1934-8190-8989-9110,Y,N,Y,7112770.52,C,N,7272459.89,N,N,N,N,2020-11-06
75,United Arab Emirates University,202403,STU202153238,Noura Al Mazrouei,Full-time,202403,FR,DIP,24,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Latifa Al Mansoori,Efficacy and Differentiation of Instruction,76,2964-1818-3032-5394,Y,N,Y,2626391.86,C,N,6096149.32,N,N,N,N,2020-04-01
82,American University in Dubai,202501,STU202274912,Amna Al Mehairbi,Online,202501,FR,BS,52,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Khalid Al Zaabi,Efficacy and Differentiation of Instruction,64,7346-4492-7697-6473,Y,N,Y,9344012.8,C,N,7645064.45,N,N,N,N,2020-01-01
76,Zayed University,202402,STU202596094,Aisha Singh,Online,202402,FR,PhD,43,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Noura Al Mazrouei,Efficacy and Differentiation of Instruction,28,4696-9335-7165-7585,Y,N,Y,6532672.13,C,N,3330787.01,N,N,N,N,2021-07-25
83,British University in Dubai,202502,STU202295398,Shamma Al Mazrouei,Online,202502,FR,MS,23,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Mohammed Al Shamsi,Efficacy and Differentiation of Instruction,66,3424-7803-7225-9048,Y,N,Y,93638.38,C,N,7061826.39,N,N,N,N,2022-08-16
82,American University in Dubai,202401,STU202590304,Rashid Al Nuaimi,Part-time,202401,FR,MA,05,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Sultan Hassan,Efficacy and Differentiation of Instruction,66,5768-2792-6228-8423,Y,N,Y,5502807.85,C,N,8946993.08,N,N,N,N,2023-03-17
79,University of Sharjah,202401,STU202386366,Hamad Al Junaibi,Online,202401,FR,MS,52,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Hassan Patel,Efficacy and Differentiation of Instruction,24,1357-8304-4108-9716,Y,N,Y,8512613.09,C,N,5380359.26,N,N,N,N,2025-02-07
77,Khalifa University,202503,STU202288466,Abdullah Al Kaabi,Part-time,202503,FR,BS,16,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Sultan Ahmed,Efficacy and Differentiation of Instruction,44,3167-6233-9411-7241,Y,N,Y,2991899.84,C,N,1423999.17,N,N,N,N,2020-06-25
82,American University in Dubai,202401,STU202390181,Omar Al Nuaimi,Part-time,202401,FR,MA,05,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Maryam Al Mazrouei,Efficacy and Differentiation of Instruction,42,9766-7104-9250-8338,Y,N,Y,3533302.79,C,N,3066067.14,N,N,N,N,2020-10-01
81,Ajman University,202501,STU202165902,Amna Hassan,Online,202501,FR,BS,43,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Maryam Al Kaabi,Efficacy and Differentiation of Instruction,30,8501-7729-9762-4246,Y,N,Y,2656228.45,C,N,449066.3,N,N,N,N,2024-09-12
81,Ajman University,202503,STU202045213,Aisha Al Shamsi,Full-time,202503,FR,CRT,09,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Hessa Al Nuaimi,Efficacy and Differentiation of Instruction,48,9680-1612-5972-5311,Y,N,Y,1286669.18,C,N,8036406.32,N,N,N,N,2021-01-18
76,Zayed University,202403,STU202351001,Hamad Khan,Full-time,202403,FR,MA,26,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Hessa Al Mehairbi,Efficacy and Differentiation of Instruction,16,2705-3136-1806-4476,Y,N,Y,3721265.6,C,N,8585055.85,N,N,N,N,2024-05-09
75,United Arab Emirates University,202401,STU202184834,Omar Al Falasi,Online,202401,FR,MA,04,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Khalid Hassan,Efficacy and Differentiation of Instruction,28,8542-2921-7574-2203,Y,N,Y,4255135.09,C,N,8476208.29,N,N,N,N,2025-02-27
75,United Arab Emirates University,202502,STU202364449,Rashid Al Falasi,Part-time,202502,FR,BA,04,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Hassan Al Junaibi,Efficacy and Differentiation of Instruction,56,9259-1482-5912-3753,Y,N,Y,5582167.94,C,N,3470170.21,N,N,N,N,2022-08-03
75,United Arab Emirates University,202502,STU202486481,Mohammed Al Zaabi,Full-time,202502,FR,MA,14,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Hessa Al Nuaimi,Efficacy and Differentiation of Instruction,48,2735-2948-4607-6320,Y,N,Y,4647669.92,C,N,859698.26,N,N,N,N,2025-08-20
79,University of Sharjah,202403,STU202351016,Fatima Al Shamsi,Online,202403,FR,BS,15,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Noor Al Zaabi,Efficacy and Differentiation of Instruction,33,4597-1523-3557-5094,Y,N,Y,2679636.91,C,N,197616.21,N,N,N,N,2020-06-01
78,American University of Sharjah,202403,STU202374838,Hessa Al Junaibi,Full-time,202403,FR,PhD,51,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Khalid Al Shamsi,Efficacy and Differentiation of Instruction,50,2585-1450-5401-8005,Y,N,Y,5517186.65,C,N,8171772.54,N,N,N,N,2023-09-24
75,United Arab Emirates University,202501,STU202488518,Hassan Al Dhaheri,Online,202501,FR,DIP,27,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Hassan Al Junaibi,Efficacy and Differentiation of Instruction,47,1469-9152-1521-9944,Y,N,Y,5819237.2,C,N,626454.26,N,N,N,N,2022-09-28
82,American University in Dubai,202401,STU202080511,Mohammed Patel,Part-time,202401,FR,MS,24,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Ahmed Al Falasi,Efficacy and Differentiation of Instruction,100,6846-8210-2148-3837,Y,N,Y,7950234.08,C,N,3232926.15,N,N,N,N,2022-08-26
81,Ajman University,202502,STU202090869,Maitha Al Nuaimi,Full-time,202502,FR,BS,40,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Khalid Singh,Efficacy and Differentiation of Instruction,35,9234-8824-5753-7151,Y,N,Y,2879262.42,C,N,6114302.27,N,N,N,N,2025-01-18
79,University of Sharjah,202502,STU202150313,Saeed Khan,Full-time,202502,FR,BS,03,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Rashid Al Dhaheri,Efficacy and Differentiation of Instruction,64,9865-3931-4450-9102,Y,N,Y,4804997.82,C,N,6543586.78,N,N,N,N,2024-12-09
78,American University of Sharjah,202402,STU202129743,Mohammed Patel,Full-time,202402,FR,BS,09,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Fatima Patel,Efficacy and Differentiation of Instruction,10,9841-4984-9156-3420,Y,N,Y,1579773.47,C,N,32178.63,N,N,N,N,2022-12-22
76,Zayed University,202501,STU202458305,Sultan Al Dhaheri,Full-time,202501,FR,PhD,01,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Ahmed Al Kaabi,Efficacy and Differentiation of Instruction,80,3486-1015-3326-3317,Y,N,Y,1968563.07,C,N,9096077.71,N,N,N,N,2024-06-25
80,Abu Dhabi University,202501,STU202316085,Saeed Al Mansoori,Online,202501,FR,BS,11,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Sheikha Khan,Efficacy and Differentiation of Instruction,94,6810-5919-5767-4287,Y,N,Y,4591116.14,C,N,5985410.2,N,N,N,N,2025-01-21
77,Khalifa University,202502,STU202342028,Sultan Al Dhaheri,Online,202502,FR,DIP,24,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Noor Al Kaabi,Efficacy and Differentiation of Instruction,13,3575-1008-6381-5295,Y,N,Y,1625171.46,C,N,6012800.2,N,N,N,N,2023-08-15
78,American University of Sharjah,202501,STU202119298,Mohammed Al Shamsi,Full-time,202501,FR,PhD,13,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Abdullah Al Mansoori,Efficacy and Differentiation of Instruction,66,1436-2225-2044-8279,Y,N,Y,1256762.98,C,N,1133915.15,N,N,N,N,2021-03-18
79,University of Sharjah,202402,STU202496346,Saeed Al Falasi,Part-time,202402,FR,MBA,11,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Salem Al Nuaimi,Efficacy and Differentiation of Instruction,63,5747-1932-5597-4020,Y,N,Y,5488009.48,C,N,2272561.13,N,N,N,N,2025-11-18
75,United Arab Emirates University,202502,STU202269373,Sara Singh,Part-time,202502,FR,MS,11,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Salem Al Junaibi,Efficacy and Differentiation of Instruction,9,2210-6538-1532-9020,Y,N,Y,7588705.74,C,N,5457589.86,N,N,N,N,2021-09-17
75,United Arab Emirates University,202503,STU202063841,Maitha Hassan,Part-time,202503,FR,DIP,11,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Fatima Al Mazrouei,Efficacy and Differentiation of Instruction,57,1926-7479-6674-9716,Y,N,Y,8307034.47,C,N,9817194.9,N,N,N,N,2021-07-13
75,United Arab Emirates University,202401,STU202149896,Ahmed Patel,Online,202401,FR,PhD,52,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Maitha Al Mansoori,Efficacy and Differentiation of Instruction,40,3436-7215-9530-5595,Y,N,Y,7783256.54,C,N,5693238.01,N,N,N,N,2020-01-05
81,Ajman University,202503,STU202131401,Noor Singh,Full-time,202503,FR,PhD,15,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Hamad Al Mazrouei,Efficacy and Differentiation of Instruction,61,2369-4705-6673-7627,Y,N,Y,4163440.68,C,N,7389780.38,N,N,N,N,2024-04-14
81,Ajman University,202502,STU202073891,Sultan Al Mansoori,Full-time,202502,FR,MS,54,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Sultan Al Shamsi,Efficacy and Differentiation of Instruction,17,3652-6083-1920-8958,Y,N,Y,3182078.53,C,N,6639249.61,N,N,N,N,2022-10-11
79,University of Sharjah,202402,STU202220608,Maitha Al Mazrouei,Part-time,202402,FR,BS,43,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Noura Al Mansoori,Efficacy and Differentiation of Instruction,73,6915-6846-9891-2359,Y,N,Y,9145798.88,C,N,7276442.52,N,N,N,N,2022-02-21
82,American University in Dubai,202403,STU202196748,Hessa Ahmed,Part-time,202403,FR,BS,11,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Hessa Al Nuaimi,Efficacy and Differentiation of Instruction,73,7035-3325-5633-7992,Y,N,Y,9725681.31,C,N,5165858.09,N,N,N,N,2021-06-30
75,United Arab Emirates University,202503,STU202421346,Maryam Al Mehairbi,Online,202503,FR,MBA,09,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Sheikha Al Mehairbi,Efficacy and Differentiation of Instruction,55,1953-1439-6309-6407,Y,N,Y,5632374.39,C,N,3578501.53,N,N,N,N,2025-06-17
84,Dubai Medical College,202403,STU202119490,Shamma Hassan,Part-time,202403,FR,MBA,14,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Hessa Al Kaabi,Efficacy and Differentiation of Instruction,70,8575-1769-8994-3359,Y,N,Y,4758030.66,C,N,178502.94,N,N,N,N,2023-10-31
79,University of Sharjah,202403,STU202290300,Khalid Al Falasi,Online,202403,FR,PhD,50,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Ali Al Shamsi,Efficacy and Differentiation of Instruction,36,6009-5862-8070-2728,Y,N,Y,839287.31,C,N,9533828.04,N,N,N,N,2025-02-12
82,American University in Dubai,202503,STU202054604,Hamad Al Mansoori,Part-time,202503,FR,PhD,42,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Aisha Al Falasi,Efficacy and Differentiation of Instruction,4,2193-9596-5951-9150,Y,N,Y,9672663.89,C,N,3566424.63,N,N,N,N,2024-09-11
81,Ajman University,202401,STU202172241,Noura Al Shamsi,Full-time,202401,FR,BA,51,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Maryam Al Junaibi,Efficacy and Differentiation of Instruction,34,6410-5274-9281-1322,Y,N,Y,8275510.47,C,N,4198844.08,N,N,N,N,2021-11-11
79,University of Sharjah,202503,STU202250229,Mohammed Al Mazrouei,Full-time,202503,FR,MA,50,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Maryam Al Kaabi,Efficacy and Differentiation of Instruction,95,3777-3886-2423-1334,Y,N,Y,7241987.69,C,N,2914824.96,N,N,N,N,2025-11-05
81,Ajman University,202403,STU202525246,Sheikha Ahmed,Online,202403,FR,CRT,42,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Rashid Al Mansoori,Efficacy and Differentiation of Instruction,80,9091-4588-1469-3193,Y,N,Y,4658143.22,C,N,2419481.83,N,N,N,N,2022-12-06
79,University of Sharjah,202401,STU202024638,Shamma Al Mansoori,Full-time,202401,FR,MS,52,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Rashid Al Mazrouei,Efficacy and Differentiation of Instruction,69,5218-2920-9207-6712,Y,N,Y,6750025.62,C,N,5692426.35,N,N,N,N,2022-04-03
75,United Arab Emirates University,202403,STU202274122,Sheikha Hassan,Full-time,202403,FR,PhD,23,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Ali Al Mehairbi,Efficacy and Differentiation of Instruction,66,2037-9799-4133-2062,Y,N,Y,2361230.91,C,N,7164192.42,N,N,N,N,2025-09-03
77,Khalifa University,202501,STU202196358,Noura Al Shamsi,Online,202501,FR,BA,15,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Aisha Al Mehairbi,Efficacy and Differentiation of Instruction,34,8483-3651-4486-4172,Y,N,Y,574432.44,C,N,5940133.7,N,N,N,N,2021-03-21
82,American University in Dubai,202502,STU202178562,Ahmed Al Dhaheri,Online,202502,FR,DIP,15,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Hessa Patel,Efficacy and Differentiation of Instruction,28,1767-3449-4392-7672,Y,N,Y,7360749.6,C,N,2523415.52,N,N,N,N,2022-07-04
84,Dubai Medical College,202501,STU202544765,Maryam Al Nuaimi,Part-time,202501,FR,CRT,24,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Ali Al Mehairbi,Efficacy and Differentiation of Instruction,17,2030-8142-7365-9512,Y,N,Y,828829.68,C,N,5870633.55,N,N,N,N,2023-03-10
75,United Arab Emirates University,202501,STU202314622,Noura Al Mansoori,Online,202501,FR,BA,23,Software Development,Architecture,1.DR.10001,FT,Online,FR,Harvard University,Omar Singh,Efficacy and Differentiation of Instruction,31,8627-5269-5865-8487,Y,N,Y,5407178.39,C,N,7645416.43,N,N,N,N,2020-05-10
81,Ajman University,202403,STU202024116,Omar Al Dhaheri,Online,202403,FR,MBA,03,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Rashid Al Mehairbi,Efficacy and Differentiation of Instruction,64,1765-9307-7678-9701,Y,N,Y,2982556.2,C,N,693559.09,N,N,N,N,2022-08-05
78,American University of Sharjah,202401,STU202092685,Noor Al Junaibi,Online,202401,FR,MS,11,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Fatima Al Mehairbi,Efficacy and Differentiation of Instruction,72,3983-5618-8920-6633,Y,N,Y,3615018.04,C,N,5556699.49,N,N,N,N,2021-11-28
84,Dubai Medical College,202403,STU202594175,Abdullah Al Kaabi,Full-time,202403,FR,CRT,09,Software Development,Architecture,1.DR.10001,FT,Part-time,FR,Harvard University,Hessa Singh,Efficacy and Differentiation of Instruction,1,6458-9779-2729-4048,Y,N,Y,8596894.9,C,N,4066212.98,N,N,N,N,2020-04-06
80,Abu Dhabi University,202403,STU202374093,Mohammed Al Zaabi,Part-time,202403,FR,CRT,13,Software Development,Architecture,1.DR.10001,FT,Full-time,FR,Harvard University,Rashid Al Mehairbi,Efficacy and Differentiation of Instruction,17,1414-2297-7347-3837,Y,N,Y,4102780.33,C,N,2426272.93,N,N,N,N,2022-07-29
