Grad_Institution_Code,Grad_Institution_Name,Grad_Academic_Period,Grad_Student_ID,Grad_Al_Ethbara,Grad_Emirates_ID,Grad_Missing_EID,Grad_Passport_Number,Grad_Student_Name_English,Grad_Student_Name_Arabic,Grad_Gender,Grad_Student_DOB,Grad_Student_Email_Address,Grad_Student_Mobile_Number,Grad_Health_Fitness_Certificate,Grad_Marital_Status_Code,Grad_Nationality,Grad_Nationality_of_Mother,Grad_Home_Emirate,Grad_Student_Campus,Grad_1st_Academic_Period,Grad_Student_Degree,Grad_Area_of_Specialization,Grad_Student_Major,Grad_Major_CIP,Grad_Minor,Grad_Program_Code,Grad_Mode_of_Study,Grad_Master_Thesis_Title,Grad_PhD_Dissertation_Title,Grad_Total_Credits_Cumulated,Grad_GPA_Cumulative,Grad_Total_Academic_Periods_Regular,Grad_Total_Academic_Periods_Supplementary,Grad_Submission_Term,Grad_LC,Grad_Workplacement,Last_Updated
77,Khalifa University,202403,STU202436937,100278,784199948814972,Marsoom,N94592896,Maitha Hassan,شما سلطان,M,1994-05-29,ahmed.hassan337@institution.ac.ae,+9710583218705,Y,Completed,IN,QA,Umm Al Quwain,AD,202403,BS,26,Software Development,51,Architecture,1.DR.10001,FT,Introduction to Pharmacy,Advanced Mathematics,22,2.33,202403,202403,202403,Y,Y,2024-05-01
80,Abu Dhabi University,202402,STU202110691,100278,784200127899335,Marsoom,N94592896,Maitha Al Junaibi,مريم أحمد,F,1995-12-12,maitha.ahmed895@institution.ac.ae,+9710507250003,Y,Pending,US,YE,Umm Al Quwain,AD,202402,BA,40,Software Development,04,Architecture,1.DR.10001,FT,Advanced Civil Engineering,Principles of Islamic Studies,112,2.18,202402,202402,202403,Y,Y,2020-02-24
84,Dubai Medical College,202402,STU202527630,100278,784200527260748,Marsoom,N94592896,Maitha Al Mehairbi,حسن عبدالله,F,1998-03-22,hamad.patel4@institution.ac.ae,+9710567658300,Y,Pending,JO,SY,Fujairah,AD,202402,CRT,26,Software Development,05,Architecture,1.DR.10001,FT,Advanced English Literature,Principles of Mathematics,456,3.0,202402,202402,202403,Y,Y,2022-03-16
76,Zayed University,202503,STU202243217,100278,784200592433346,Marsoom,N94592896,Abdullah Al Falasi,فاطمة علي,M,1977-01-11,noor.al.dhaheri724@institution.ac.ae,+9710548448977,Y,Active,QA,PS,Fujairah,AD,202503,MA,13,Software Development,24,Architecture,1.DR.10001,FT,Principles of Marketing,Advanced History,132,2.4,202503,202503,202403,Y,Y,2025-04-02
75,United Arab Emirates University,202502,STU202465204,100278,784199026792571,Marsoom,N94592896,Salem Ahmed,حسن عبدالله,F,1982-09-23,hamad.al.zaabi960@institution.ac.ae,+9710563073524,Y,Pending,BH,YE,Ras Al Khaimah,AD,202502,BA,45,Software Development,15,Architecture,1.DR.10001,FT,Advanced Physics,Applied Education,309,2.36,202502,202502,202403,Y,Y,2022-03-24
83,British University in Dubai,202403,STU202594728,100278,784199723323395,Marsoom,N94592896,Noor Al Mehairbi,أحمد محمد,F,2005-03-17,rashid.al.shamsi551@institution.ac.ae,+9710529882046,Y,Inactive,IQ,CA,Sharjah,AD,202403,PhD,09,Software Development,51,Architecture,1.DR.10001,FT,Principles of Mathematics,Advanced Nursing,147,3.49,202403,202403,202403,Y,Y,2023-09-17
82,American University in Dubai,202502,STU202068486,100278,784199284491790,Marsoom,N94592896,Aisha Al Mehairbi,أحمد محمد,M,2000-09-10,aisha.al.mehairbi866@institution.ac.ae,+9710583709547,Y,Completed,JO,YE,Abu Dhabi,AD,202502,MS,04,Software Development,52,Architecture,1.DR.10001,FT,Principles of Electrical Engineering,Advanced Architecture,425,3.89,202502,202502,202403,Y,Y,2025-03-07
81,Ajman University,202503,STU202138997,100278,784199952091927,Marsoom,N94592896,Maryam Hassan,أحمد محمد,M,1990-01-03,shamma.al.dhaheri828@institution.ac.ae,+9710567466150,Y,Inactive,US,QA,Umm Al Quwain,AD,202503,PhD,15,Software Development,03,Architecture,1.DR.10001,FT,Principles of English Literature,Introduction to Marketing,239,2.37,202503,202503,202403,Y,Y,2023-11-02
79,University of Sharjah,202503,STU202069957,100278,784199675426750,Marsoom,N94592896,Hamad Al Mehairbi,مريم أحمد,M,2000-03-15,fatima.al.falasi173@institution.ac.ae,+9710525767402,Y,Pending,SY,SY,Ajman,AD,202503,MA,42,Software Development,42,Architecture,1.DR.10001,FT,Applied Pharmacy,Principles of Business Administration,222,2.26,202503,202503,202403,Y,Y,2023-06-25
75,United Arab Emirates University,202403,STU202175620,100278,784200249788826,Marsoom,N94592896,Sultan Al Zaabi,فاطمة علي,F,2002-10-30,latifa.hassan885@institution.ac.ae,+9710528704452,Y,Active,GB,SY,Fujairah,AD,202403,PhD,05,Software Development,04,Architecture,1.DR.10001,FT,Advanced Pharmacy,Principles of Accounting,325,3.9,202403,202403,202403,Y,Y,2023-08-02
76,Zayed University,202403,STU202253802,100278,784199077852213,Marsoom,N94592896,Ali Al Kaabi,أحمد محمد,M,1995-08-18,hessa.al.dhaheri150@institution.ac.ae,+9710587937634,Y,Active,EG,AE,Fujairah,AD,202403,BA,54,Software Development,09,Architecture,1.DR.10001,FT,Applied Computer Science,Applied English Literature,296,2.22,202403,202403,202403,Y,Y,2025-03-31
77,Khalifa University,202503,STU202278598,100278,784199520055028,Marsoom,N94592896,Noor Khan,عائشة سالم,F,1980-02-21,sheikha.al.shamsi251@institution.ac.ae,+9710522106324,Y,Pending,BH,GB,Sharjah,AD,202503,MS,13,Software Development,14,Architecture,1.DR.10001,FT,Principles of Accounting,Introduction to Civil Engineering,56,2.75,202503,202503,202403,Y,Y,2020-02-23
79,University of Sharjah,202502,STU202224996,100278,784200484121658,Marsoom,N94592896,Noor Al Mehairbi,خالد راشد,M,1995-02-09,hassan.al.falasi45@institution.ac.ae,+9710565309058,Y,In Progress,GB,SY,Dubai,AD,202502,MBA,27,Software Development,51,Architecture,1.DR.10001,FT,Applied Accounting,Introduction to Computer Science,161,3.01,202502,202502,202403,Y,Y,2021-06-25
78,American University of Sharjah,202402,STU202293475,100278,784199281247703,Marsoom,N94592896,Hassan Al Mansoori,فاطمة علي,F,1973-11-17,fatima.al.nuaimi133@institution.ac.ae,+9710554776138,Y,Inactive,AE,GB,Ras Al Khaimah,AD,202402,CRT,11,Software Development,45,Architecture,1.DR.10001,FT,Advanced Mechanical Engineering,Advanced English Literature,387,3.89,202402,202402,202403,Y,Y,2025-06-21
78,American University of Sharjah,202401,STU202160945,100278,784199611667127,Marsoom,N94592896,Ahmed Ahmed,شما سلطان,M,1987-12-23,maryam.singh880@institution.ac.ae,+9710551730118,Y,Active,JO,QA,Abu Dhabi,AD,202401,BA,04,Software Development,45,Architecture,1.DR.10001,FT,Applied Electrical Engineering,Applied Sociology,163,2.07,202401,202401,202403,Y,Y,2022-11-23
84,Dubai Medical College,202502,STU202339821,100278,784199088330089,Marsoom,N94592896,Latifa Al Mehairbi,فاطمة علي,F,1971-01-23,maryam.al.mehairbi26@institution.ac.ae,+9710529250335,Y,Active,PK,QA,Dubai,AD,202502,PhD,27,Software Development,01,Architecture,1.DR.10001,FT,Principles of Computer Science,Applied English Literature,271,2.48,202502,202502,202403,Y,Y,2020-05-27
76,Zayed University,202502,STU202319478,100278,784199349024695,Marsoom,N94592896,Noura Singh,فاطمة علي,M,1977-05-13,aisha.patel776@institution.ac.ae,+9710508218909,Y,Completed,GB,AE,Dubai,AD,202502,CRT,14,Software Development,03,Architecture,1.DR.10001,FT,Principles of Chemistry,Applied History,26,2.61,202502,202502,202403,Y,Y,2025-11-04
75,United Arab Emirates University,202502,STU202377046,100278,784200097225582,Marsoom,N94592896,Hamad Al Mansoori,فاطمة علي,F,1979-02-01,saeed.al.falasi265@institution.ac.ae,+9710587618574,Y,Inactive,JO,IN,Ras Al Khaimah,AD,202502,DIP,13,Software Development,16,Architecture,1.DR.10001,FT,Advanced Business Administration,Principles of Nursing,335,2.05,202502,202502,202403,Y,Y,2023-08-09
78,American University of Sharjah,202403,STU202412343,100278,784199255822760,Marsoom,N94592896,Shamma Hassan,فاطمة علي,F,1998-04-18,khalid.al.nuaimi489@institution.ac.ae,+9710568638807,Y,In Progress,BD,CA,Fujairah,AD,202403,MBA,23,Software Development,43,Architecture,1.DR.10001,FT,Introduction to Biology,Advanced Accounting,88,2.61,202403,202403,202403,Y,Y,2020-11-30
79,University of Sharjah,202501,STU202146545,100278,784200555891523,Marsoom,N94592896,Noura Patel,علي خالد,M,1977-11-24,shamma.ahmed565@institution.ac.ae,+9710554401694,Y,Active,SA,CA,Sharjah,AD,202501,MS,05,Software Development,52,Architecture,1.DR.10001,FT,Principles of Law,Principles of Economics,497,3.21,202501,202501,202403,Y,Y,2024-02-12
76,Zayed University,202402,STU202561714,100278,784199868034180,Marsoom,N94592896,Khalid Khan,مريم أحمد,F,1981-11-07,sara.al.dhaheri139@institution.ac.ae,+9710564005110,Y,Completed,AE,GB,Ajman,AD,202402,DIP,26,Software Development,45,Architecture,1.DR.10001,FT,Applied Marketing,Advanced Education,250,3.99,202402,202402,202403,Y,Y,2021-11-15
84,Dubai Medical College,202402,STU202467062,100278,784199447993638,Marsoom,N94592896,Abdullah Al Shamsi,مريم أحمد,F,1985-04-16,saeed.al.mazrouei962@institution.ac.ae,+9710546550419,Y,Pending,OM,PS,Ajman,AD,202402,BS,15,Software Development,05,Architecture,1.DR.10001,FT,Principles of Computer Science,Applied English Literature,268,3.01,202402,202402,202403,Y,Y,2020-02-01
83,British University in Dubai,202503,STU202223869,100278,784200359671824,Marsoom,N94592896,Omar Khan,عائشة سالم,F,1971-04-12,sheikha.al.nuaimi855@institution.ac.ae,+9710504843412,Y,Completed,SY,JO,Fujairah,AD,202503,MA,51,Software Development,27,Architecture,1.DR.10001,FT,Advanced Nursing,Advanced Electrical Engineering,31,2.42,202503,202503,202403,Y,Y,2021-02-03
80,Abu Dhabi University,202401,STU202025451,100278,784199032562296,Marsoom,N94592896,Salem Al Nuaimi,أحمد محمد,M,2005-07-19,sheikha.singh736@institution.ac.ae,+9710567582861,Y,Active,OM,US,Ajman,AD,202401,DIP,05,Software Development,09,Architecture,1.DR.10001,FT,Introduction to Architecture,Advanced Nursing,372,2.07,202401,202401,202403,Y,Y,2022-10-13
79,University of Sharjah,202503,STU202257392,100278,784199363469497,Marsoom,N94592896,Salem Al Junaibi,علي خالد,M,1973-08-21,hessa.al.falasi394@institution.ac.ae,+9710505633160,Y,Completed,LB,IQ,Sharjah,AD,202503,DIP,13,Software Development,01,Architecture,1.DR.10001,FT,Introduction to Arabic Studies,Applied Mechanical Engineering,155,3.33,202503,202503,202403,Y,Y,2023-02-21
79,University of Sharjah,202403,STU202558531,100278,784200292650420,Marsoom,N94592896,Hassan Ahmed,أحمد محمد,M,1993-09-20,aisha.singh836@institution.ac.ae,+9710541654689,Y,Completed,PS,LB,Dubai,AD,202403,DIP,03,Software Development,03,Architecture,1.DR.10001,FT,Advanced Islamic Studies,Principles of Islamic Studies,262,2.07,202403,202403,202403,Y,Y,2025-12-04
84,Dubai Medical College,202401,STU202391534,100278,784199320423596,Marsoom,N94592896,Maitha Al Zaabi,شما سلطان,M,1981-12-21,maitha.patel182@institution.ac.ae,+9710546179738,Y,In Progress,LB,OM,Fujairah,AD,202401,MA,40,Software Development,04,Architecture,1.DR.10001,FT,Introduction to Psychology,Introduction to English Literature,400,3.98,202401,202401,202403,Y,Y,2021-07-08
77,Khalifa University,202402,STU202575629,100278,784200176987565,Marsoom,N94592896,Sultan Al Dhaheri,علي خالد,F,2002-08-16,omar.al.mansoori914@institution.ac.ae,+9710566296713,Y,Active,BH,EG,Abu Dhabi,AD,202402,MA,43,Software Development,14,Architecture,1.DR.10001,FT,Advanced Architecture,Advanced History,442,3.6,202402,202402,202403,Y,Y,2025-06-28
80,Abu Dhabi University,202402,STU202134801,100278,784199418135277,Marsoom,N94592896,Rashid Al Nuaimi,خالد راشد,F,1976-02-25,sultan.al.nuaimi598@institution.ac.ae,+9710548128968,Y,In Progress,YE,GB,Abu Dhabi,AD,202402,DIP,54,Software Development,15,Architecture,1.DR.10001,FT,Principles of Accounting,Principles of Pharmacy,130,2.9,202402,202402,202403,Y,Y,2024-06-06
77,Khalifa University,202402,STU202125522,100278,784200533784408,Marsoom,N94592896,Hassan Al Dhaheri,خالد راشد,M,1971-06-23,hessa.al.zaabi692@institution.ac.ae,+9710548818401,Y,Inactive,PS,AE,Ajman,AD,202402,CRT,15,Software Development,24,Architecture,1.DR.10001,FT,Principles of Accounting,Applied History,40,3.78,202402,202402,202403,Y,Y,2024-06-30
77,Khalifa University,202403,STU202410591,100278,784199214246887,Marsoom,N94592896,Hassan Al Zaabi,شما سلطان,M,1992-12-17,omar.al.mehairbi607@institution.ac.ae,+9710544225693,Y,Pending,IN,BH,Sharjah,AD,202403,BS,13,Software Development,43,Architecture,1.DR.10001,FT,Applied Sociology,Principles of Mechanical Engineering,14,3.94,202403,202403,202403,Y,Y,2022-10-17
79,University of Sharjah,202402,STU202167913,100278,784199942219480,Marsoom,N94592896,Shamma Al Mehairbi,محمد حسن,F,1999-11-19,noura.al.nuaimi674@institution.ac.ae,+9710561672783,Y,In Progress,PK,SY,Fujairah,AD,202402,PhD,52,Software Development,15,Architecture,1.DR.10001,FT,Applied Business Administration,Applied History,334,2.46,202402,202402,202403,Y,Y,2020-04-02
80,Abu Dhabi University,202401,STU202112175,100278,784199889080537,Marsoom,N94592896,Noor Al Mehairbi,خالد راشد,M,1976-09-04,maitha.al.zaabi945@institution.ac.ae,+9710501134148,Y,Inactive,BH,QA,Fujairah,AD,202401,BS,01,Software Development,51,Architecture,1.DR.10001,FT,Advanced Accounting,Applied Psychology,462,3.52,202401,202401,202403,Y,Y,2023-12-08
75,United Arab Emirates University,202503,STU202453534,100278,784200137959090,Marsoom,N94592896,Ali Al Shamsi,علي خالد,M,1976-08-18,saeed.singh514@institution.ac.ae,+9710557711053,Y,Pending,US,AE,Dubai,AD,202503,MBA,13,Software Development,04,Architecture,1.DR.10001,FT,Advanced History,Principles of Finance,304,2.92,202503,202503,202403,Y,Y,2023-09-19
84,Dubai Medical College,202502,STU202020268,100278,784200458309894,Marsoom,N94592896,Omar Khan,فاطمة علي,F,1985-01-31,hassan.al.zaabi385@institution.ac.ae,+9710549961963,Y,Pending,BD,BH,Sharjah,AD,202502,DIP,52,Software Development,16,Architecture,1.DR.10001,FT,Introduction to Psychology,Applied Accounting,286,3.83,202502,202502,202403,Y,Y,2022-02-17
78,American University of Sharjah,202503,STU202548691,100278,784199848654581,Marsoom,N94592896,Salem Al Dhaheri,علي خالد,M,1998-02-19,hessa.al.falasi725@institution.ac.ae,+9710565842289,Y,Completed,KW,AE,Fujairah,AD,202503,MBA,05,Software Development,43,Architecture,1.DR.10001,FT,Advanced Mathematics,Advanced Economics,222,2.1,202503,202503,202403,Y,Y,2020-10-23
81,Ajman University,202502,STU202437861,100278,784199930848051,Marsoom,N94592896,Noor Al Zaabi,خالد راشد,F,1989-06-12,noor.al.zaabi721@institution.ac.ae,+9710568836448,Y,Completed,PS,OM,Abu Dhabi,AD,202502,PhD,14,Software Development,50,Architecture,1.DR.10001,FT,Applied Sociology,Principles of Marketing,266,3.41,202502,202502,202403,Y,Y,2022-04-12
80,Abu Dhabi University,202502,STU202538135,100278,784199736407434,Marsoom,N94592896,Saeed Al Mazrouei,أحمد محمد,M,1977-10-22,latifa.al.nuaimi896@institution.ac.ae,+9710586384868,Y,Active,LB,US,Fujairah,AD,202502,PhD,01,Software Development,05,Architecture,1.DR.10001,FT,Advanced English Literature,Introduction to Sociology,318,2.46,202502,202502,202403,Y,Y,2021-08-24
81,Ajman University,202402,STU202037590,100278,784199470025436,Marsoom,N94592896,Rashid Patel,مريم أحمد,F,1978-04-24,sara.al.mazrouei554@institution.ac.ae,+9710544480784,Y,Active,SY,OM,Dubai,AD,202402,BS,13,Software Development,26,Architecture,1.DR.10001,FT,Advanced Mathematics,Applied Psychology,486,3.27,202402,202402,202403,Y,Y,2022-07-14
