MC_Enroll_Institution_Code,MC_Enroll_Institution_Name,MC_Enroll_Academic_Period,MC_Enroll_Student_ID,MC_Enroll_Emirates_ID,MC_Enroll_Missing_EID,MC_Enroll_Student_Name_English,MC_Enroll_Student_Name_Arabic,MC_Enroll_Gender,MC_Enroll_Student_DOB,MC_Enroll_Student_Email_Address,MC_Enroll_Student_Mobile_Number,MC_Enroll_Health_Fitness_Certificate,MC_Enroll_Special_Needs,MC_Enroll_Nationality,MC_Enroll_Home_Emirate,MC_Enroll_Student_Campus,MC_Enroll_Student_Type,MC_Enroll_1st_Academic_Period,MC_Enroll_Student_Level,MC_Enroll_Student_Degree,MC_Enroll_Program_Code,MC_Enroll_Mode_of_Study,MC_Enroll_Employment_Status,MC_Enroll_Employment_Sector,MC_Enroll_Employment_Position,MC_Enroll_Required_Academic_Period,MC_Enroll_Required_Credits_Graduation,MC_Enroll_Current_Registered_Credits,MC_Enroll_Total_Credits_Registered,MC_Enroll_Total_Credits_Cumulated,MC_Enroll_GPA_Cumulative,Last_Updated
83,British University in Dubai,202403,STU202237221,784199644015807,Visiting,Maitha Al Nuaimi,حسن عبدالله,M,2003-06-14,amna.al.zaabi861@institution.ac.ae,+9710553724653,Y,VI,LB,Fujairah,DB,Full-time,202403,MC,BA,76.MC.1,FT,Inactive,Private,Assistant Engineer,202403,84,47,458,355,3.97,2024-04-10
82,American University in Dubai,202402,STU202133990,784199837771720,Visiting,Saeed Patel,أحمد محمد,F,1974-04-14,fatima.al.falasi650@institution.ac.ae,+9710566657970,Y,VI,JO,Fujairah,DB,Online,202402,MC,CRT,76.MC.1,FT,Inactive,Private,Assistant Engineer,202402,68,43,341,59,2.28,2024-07-06
77,Khalifa University,202501,STU202045400,784200083310134,Visiting,Hamad Ahmed,حسن عبدالله,F,2000-05-01,noor.singh904@institution.ac.ae,+9710555378952,Y,VI,AE,Umm Al Quwain,DB,Online,202501,MC,PhD,76.MC.1,FT,Completed,Private,Assistant Engineer,202501,13,58,122,438,3.84,2020-04-13
79,University of Sharjah,202501,STU202044814,784199288054166,Visiting,Hassan Hassan,خالد راشد,F,1982-06-18,latifa.al.mazrouei899@institution.ac.ae,+9710542293531,Y,VI,SY,Dubai,DB,Full-time,202501,MC,PhD,76.MC.1,FT,Completed,Private,Assistant Engineer,202501,63,92,292,331,2.61,2022-04-19
79,University of Sharjah,202502,STU202278810,784199096408240,Visiting,Hassan Al Shamsi,فاطمة علي,M,1973-07-14,maitha.al.mehairbi598@institution.ac.ae,+9710566497241,Y,VI,JO,Dubai,DB,Full-time,202502,MC,MA,76.MC.1,FT,Pending,Private,Assistant Engineer,202502,34,95,71,241,2.32,2025-02-17
82,American University in Dubai,202402,STU202116348,784199382659553,Visiting,Sara Singh,محمد حسن,M,1981-10-01,aisha.al.nuaimi889@institution.ac.ae,+9710563758148,Y,VI,IQ,Ras Al Khaimah,DB,Part-time,202402,MC,DIP,76.MC.1,FT,In Progress,Private,Assistant Engineer,202402,30,69,317,420,2.87,2022-12-29
79,University of Sharjah,202401,STU202461235,784200193438089,Visiting,Sheikha Hassan,مريم أحمد,M,1982-12-21,khalid.khan36@institution.ac.ae,+9710504598283,Y,VI,CA,Ajman,DB,Full-time,202401,MC,MBA,76.MC.1,FT,Completed,Private,Assistant Engineer,202401,68,37,138,364,3.89,2022-07-21
78,American University of Sharjah,202503,STU202371493,784199438754741,Visiting,Aisha Al Nuaimi,علي خالد,M,1976-12-18,omar.al.kaabi988@institution.ac.ae,+9710563840144,Y,VI,JO,Dubai,DB,Part-time,202503,MC,MS,76.MC.1,FT,Pending,Private,Assistant Engineer,202503,83,85,234,361,3.39,2022-01-17
82,American University in Dubai,202502,STU202478914,784200092639466,Visiting,Noura Al Junaibi,مريم أحمد,F,1976-03-11,ahmed.al.kaabi301@institution.ac.ae,+9710556574443,Y,VI,JO,Umm Al Quwain,DB,Part-time,202502,MC,CRT,76.MC.1,FT,Completed,Private,Assistant Engineer,202502,10,52,186,235,2.76,2024-04-26
81,Ajman University,202403,STU202034300,784199397310159,Visiting,Ali Ahmed,مريم أحمد,M,1979-08-09,ali.ahmed130@institution.ac.ae,+9710583096571,Y,VI,IN,Dubai,DB,Online,202403,MC,MBA,76.MC.1,FT,Completed,Private,Assistant Engineer,202403,33,97,201,155,2.96,2021-06-25
76,Zayed University,202403,STU202447291,784199351027573,Visiting,Aisha Al Mehairbi,نورة سعيد,F,1971-11-29,aisha.al.nuaimi773@institution.ac.ae,+9710565642643,Y,VI,QA,Ras Al Khaimah,DB,Part-time,202403,MC,MA,76.MC.1,FT,Pending,Private,Assistant Engineer,202403,68,73,20,472,3.08,2021-04-01
83,British University in Dubai,202503,STU202488679,784200010661709,Visiting,Aisha Al Mansoori,علي خالد,M,1971-12-21,shamma.ahmed42@institution.ac.ae,+9710589609108,Y,VI,PK,Umm Al Quwain,DB,Part-time,202503,MC,DIP,76.MC.1,FT,Pending,Private,Assistant Engineer,202503,12,1,163,100,3.45,2020-03-27
76,Zayed University,202502,STU202232513,784199220656146,Visiting,Hassan Al Junaibi,شما سلطان,F,1982-12-16,majid.al.zaabi209@institution.ac.ae,+9710569182156,Y,VI,CA,Sharjah,DB,Part-time,202502,MC,MA,76.MC.1,FT,Completed,Private,Assistant Engineer,202502,47,14,461,248,3.34,2025-08-07
84,Dubai Medical College,202401,STU202040006,784199132309548,Visiting,Ali Ahmed,عائشة سالم,F,1983-01-31,maitha.al.mansoori121@institution.ac.ae,+9710529227786,Y,VI,US,Sharjah,DB,Full-time,202401,MC,BS,76.MC.1,FT,Pending,Private,Assistant Engineer,202401,23,75,315,230,3.1,2021-05-13
78,American University of Sharjah,202402,STU202438493,784200329027878,Visiting,Latifa Ahmed,عائشة سالم,F,1994-09-28,majid.al.nuaimi927@institution.ac.ae,+9710553352190,Y,VI,OM,Abu Dhabi,DB,Part-time,202402,MC,DIP,76.MC.1,FT,In Progress,Private,Assistant Engineer,202402,70,99,345,59,3.01,2025-03-10
81,Ajman University,202503,STU202457956,784200039432449,Visiting,Maitha Al Falasi,خالد راشد,M,1993-01-26,noor.al.zaabi395@institution.ac.ae,+9710522136154,Y,VI,KW,Umm Al Quwain,DB,Full-time,202503,MC,MS,76.MC.1,FT,In Progress,Private,Assistant Engineer,202503,73,97,458,277,3.24,2022-05-21
81,Ajman University,202502,STU202119500,784199830464429,Visiting,Mohammed Al Dhaheri,مريم أحمد,F,2000-09-06,aisha.al.nuaimi300@institution.ac.ae,+9710504180776,Y,VI,KW,Fujairah,DB,Part-time,202502,MC,BA,76.MC.1,FT,Active,Private,Assistant Engineer,202502,87,30,372,131,3.84,2022-08-17
77,Khalifa University,202502,STU202132964,784200121726208,Visiting,Omar Al Dhaheri,محمد حسن,F,1970-06-04,majid.al.nuaimi891@institution.ac.ae,+9710552759828,Y,VI,PS,Fujairah,DB,Online,202502,MC,DIP,76.MC.1,FT,Inactive,Private,Assistant Engineer,202502,6,15,184,442,2.82,2022-03-14
84,Dubai Medical College,202401,STU202099385,784199673582009,Visiting,Sheikha Al Mansoori,عائشة سالم,M,1993-10-28,saeed.hassan454@institution.ac.ae,+9710543093881,Y,VI,SA,Umm Al Quwain,DB,Online,202401,MC,CRT,76.MC.1,FT,Active,Private,Assistant Engineer,202401,95,38,20,414,2.37,2024-07-09
77,Khalifa University,202403,STU202492646,784199645007931,Visiting,Noura Al Falasi,فاطمة علي,M,2005-10-29,sara.singh108@institution.ac.ae,+9710502310220,Y,VI,LB,Sharjah,DB,Full-time,202403,MC,BS,76.MC.1,FT,Completed,Private,Assistant Engineer,202403,90,79,432,460,3.01,2023-08-14
75,United Arab Emirates University,202502,STU202267941,784199611744207,Visiting,Noura Ahmed,شما سلطان,M,1980-05-12,sheikha.al.dhaheri47@institution.ac.ae,+9710589722963,Y,VI,SA,Umm Al Quwain,DB,Full-time,202502,MC,PhD,76.MC.1,FT,Pending,Private,Assistant Engineer,202502,13,59,352,166,3.57,2023-10-24
82,American University in Dubai,202503,STU202453505,784200417724874,Visiting,Aisha Al Zaabi,عائشة سالم,F,1972-01-05,noor.al.shamsi821@institution.ac.ae,+9710502166980,Y,VI,GB,Fujairah,DB,Online,202503,MC,MS,76.MC.1,FT,Pending,Private,Assistant Engineer,202503,25,34,483,278,3.97,2021-07-18
75,United Arab Emirates University,202501,STU202086472,784199932713946,Visiting,Latifa Ahmed,أحمد محمد,F,1979-10-06,amna.al.dhaheri466@institution.ac.ae,+9710565079657,Y,VI,JO,Ajman,DB,Online,202501,MC,DIP,76.MC.1,FT,Pending,Private,Assistant Engineer,202501,25,65,239,386,3.29,2024-02-10
82,American University in Dubai,202501,STU202022211,784199250138861,Visiting,Noor Ahmed,محمد حسن,M,1994-02-27,maitha.al.junaibi904@institution.ac.ae,+9710559691151,Y,VI,EG,Fujairah,DB,Part-time,202501,MC,BA,76.MC.1,FT,Inactive,Private,Assistant Engineer,202501,88,12,64,50,2.95,2023-01-19
84,Dubai Medical College,202503,STU202515645,784199258581780,Visiting,Mohammed Al Mansoori,مريم أحمد,M,1994-01-25,sara.ahmed361@institution.ac.ae,+9710543923997,Y,VI,SA,Dubai,DB,Part-time,202503,MC,MS,76.MC.1,FT,Pending,Private,Assistant Engineer,202503,2,53,482,90,3.9,2021-08-16
80,Abu Dhabi University,202503,STU202235193,784200547523806,Visiting,Abdullah Al Nuaimi,عائشة سالم,F,1993-07-17,aisha.ahmed530@institution.ac.ae,+9710585939793,Y,VI,AE,Abu Dhabi,DB,Online,202503,MC,BA,76.MC.1,FT,Pending,Private,Assistant Engineer,202503,28,3,234,136,2.83,2025-09-24
76,Zayed University,202403,STU202424678,784200460707219,Visiting,Mohammed Singh,علي خالد,M,1987-06-23,saeed.ahmed73@institution.ac.ae,+9710585631668,Y,VI,AE,Fujairah,DB,Full-time,202403,MC,CRT,76.MC.1,FT,Active,Private,Assistant Engineer,202403,37,56,479,138,2.54,2021-09-21
75,United Arab Emirates University,202403,STU202040759,784199615487396,Visiting,Abdullah Al Zaabi,عائشة سالم,M,1976-09-22,omar.hassan97@institution.ac.ae,+9710543403619,Y,VI,GB,Abu Dhabi,DB,Online,202403,MC,BA,76.MC.1,FT,Pending,Private,Assistant Engineer,202403,57,50,244,487,2.49,2023-09-01
83,British University in Dubai,202501,STU202391558,784199021265447,Visiting,Latifa Khan,مريم أحمد,M,1982-03-04,shamma.patel298@institution.ac.ae,+9710552882217,Y,VI,BD,Ras Al Khaimah,DB,Part-time,202501,MC,BS,76.MC.1,FT,Active,Private,Assistant Engineer,202501,82,27,407,57,3.63,2020-11-14
83,British University in Dubai,202502,STU202318620,784199672210087,Visiting,Saeed Al Dhaheri,مريم أحمد,F,1987-04-14,latifa.al.falasi47@institution.ac.ae,+9710557771451,Y,VI,PK,Sharjah,DB,Part-time,202502,MC,BS,76.MC.1,FT,Active,Private,Assistant Engineer,202502,73,43,217,135,2.46,2020-08-13
80,Abu Dhabi University,202401,STU202288792,784199373116635,Visiting,Khalid Hassan,علي خالد,M,2004-04-22,maitha.singh73@institution.ac.ae,+9710554202168,Y,VI,IN,Ajman,DB,Part-time,202401,MC,MBA,76.MC.1,FT,In Progress,Private,Assistant Engineer,202401,1,92,244,276,2.02,2024-08-27
79,University of Sharjah,202502,STU202473112,784200195433137,Visiting,Latifa Patel,علي خالد,M,2002-01-16,sara.singh486@institution.ac.ae,+9710551869315,Y,VI,IN,Ras Al Khaimah,DB,Part-time,202502,MC,DIP,76.MC.1,FT,Completed,Private,Assistant Engineer,202502,32,73,25,408,3.76,2020-07-01
82,American University in Dubai,202401,STU202025322,784199336497082,Visiting,Majid Hassan,نورة سعيد,F,1995-06-02,amna.al.mansoori96@institution.ac.ae,+9710547710607,Y,VI,IN,Ras Al Khaimah,DB,Part-time,202401,MC,BA,76.MC.1,FT,In Progress,Private,Assistant Engineer,202401,2,76,499,450,3.2,2022-11-16
77,Khalifa University,202502,STU202197070,784199247207581,Visiting,Abdullah Al Shamsi,فاطمة علي,M,1980-04-17,hassan.patel794@institution.ac.ae,+9710547777125,Y,VI,IQ,Ajman,DB,Full-time,202502,MC,MS,76.MC.1,FT,Active,Private,Assistant Engineer,202502,80,94,475,360,3.69,2022-11-19
79,University of Sharjah,202401,STU202240406,784199064944980,Visiting,Majid Singh,نورة سعيد,F,1980-12-18,ahmed.ahmed459@institution.ac.ae,+9710502340143,Y,VI,IQ,Abu Dhabi,DB,Part-time,202401,MC,MS,76.MC.1,FT,Completed,Private,Assistant Engineer,202401,53,56,376,65,2.49,2024-01-08
83,British University in Dubai,202503,STU202272568,784199186620877,Visiting,Sara Al Mansoori,نورة سعيد,M,2000-04-18,mohammed.al.mazrouei258@institution.ac.ae,+9710541219324,Y,VI,QA,Sharjah,DB,Online,202503,MC,DIP,76.MC.1,FT,Pending,Private,Assistant Engineer,202503,80,51,441,111,2.8,2021-08-24
80,Abu Dhabi University,202402,STU202292783,784200312913185,Visiting,Ali Al Mehairbi,شما سلطان,F,1983-09-22,omar.al.mazrouei723@institution.ac.ae,+9710589427387,Y,VI,JO,Umm Al Quwain,DB,Online,202402,MC,BA,76.MC.1,FT,Pending,Private,Assistant Engineer,202402,88,21,31,446,3.79,2021-06-03
78,American University of Sharjah,202503,STU202388721,784199062846066,Visiting,Shamma Ahmed,فاطمة علي,M,1980-05-27,noor.al.mazrouei516@institution.ac.ae,+9710569910248,Y,VI,SY,Umm Al Quwain,DB,Full-time,202503,MC,CRT,76.MC.1,FT,Completed,Private,Assistant Engineer,202503,35,32,364,349,3.9,2024-02-21
84,Dubai Medical College,202501,STU202517466,784200269931118,Visiting,Ali Al Junaibi,خالد راشد,F,1981-12-10,salem.singh145@institution.ac.ae,+9710583733062,Y,VI,EG,Fujairah,DB,Online,202501,MC,MBA,76.MC.1,FT,Inactive,Private,Assistant Engineer,202501,29,42,345,197,2.03,2025-09-16
82,American University in Dubai,202502,STU202042319,784199247678482,Visiting,Sultan Khan,عائشة سالم,M,2000-08-25,aisha.al.dhaheri142@institution.ac.ae,+9710502116605,Y,VI,BH,Sharjah,DB,Part-time,202502,MC,PhD,76.MC.1,FT,Active,Private,Assistant Engineer,202502,75,26,160,62,3.59,2021-01-12
75,United Arab Emirates University,202401,STU202446146,784199831789224,Visiting,Aisha Al Mansoori,عائشة سالم,F,1981-02-02,rashid.patel824@institution.ac.ae,+9710508843276,Y,VI,LB,Sharjah,DB,Full-time,202401,MC,DIP,76.MC.1,FT,In Progress,Private,Assistant Engineer,202401,62,59,302,476,2.62,2021-07-15
81,Ajman University,202501,STU202234217,784199264822911,Visiting,Majid Ahmed,عائشة سالم,F,1991-03-12,shamma.khan10@institution.ac.ae,+9710525797101,Y,VI,PS,Abu Dhabi,DB,Full-time,202501,MC,MBA,76.MC.1,FT,Inactive,Private,Assistant Engineer,202501,73,70,454,276,3.97,2020-05-19
81,Ajman University,202502,STU202248104,784199215402576,Visiting,Maitha Al Kaabi,نورة سعيد,F,1994-03-09,majid.hassan131@institution.ac.ae,+9710551477909,Y,VI,AE,Fujairah,DB,Online,202502,MC,MA,76.MC.1,FT,In Progress,Private,Assistant Engineer,202502,7,4,452,379,2.91,2024-11-30
79,University of Sharjah,202403,STU202315226,784199048216229,Visiting,Sheikha Al Mazrouei,خالد راشد,M,1979-09-19,ali.al.junaibi412@institution.ac.ae,+9710556543731,Y,VI,PS,Abu Dhabi,DB,Part-time,202403,MC,DIP,76.MC.1,FT,Pending,Private,Assistant Engineer,202403,22,26,322,441,2.0,2023-02-22
84,Dubai Medical College,202502,STU202390590,784199244446567,Visiting,Saeed Hassan,علي خالد,M,1992-07-18,omar.al.mansoori20@institution.ac.ae,+9710585993923,Y,VI,SA,Umm Al Quwain,DB,Online,202502,MC,MA,76.MC.1,FT,Pending,Private,Assistant Engineer,202502,62,73,10,471,2.1,2025-08-06
79,University of Sharjah,202503,STU202370729,784200374903858,Visiting,Fatima Hassan,نورة سعيد,M,1976-03-17,shamma.al.junaibi860@institution.ac.ae,+9710566791738,Y,VI,YE,Ajman,DB,Full-time,202503,MC,MBA,76.MC.1,FT,Inactive,Private,Assistant Engineer,202503,1,30,18,388,2.52,2021-04-26
78,American University of Sharjah,202503,STU202210268,784199461180450,Visiting,Maryam Singh,محمد حسن,F,1994-10-28,aisha.khan675@institution.ac.ae,+9710587446757,Y,VI,EG,Umm Al Quwain,DB,Online,202503,MC,BA,76.MC.1,FT,Active,Private,Assistant Engineer,202503,49,51,438,166,2.62,2023-11-21
84,Dubai Medical College,202501,STU202483777,784199190653575,Visiting,Shamma Al Mansoori,فاطمة علي,M,1974-06-17,sara.hassan304@institution.ac.ae,+9710566893642,Y,VI,PK,Dubai,DB,Full-time,202501,MC,MS,76.MC.1,FT,In Progress,Private,Assistant Engineer,202501,84,98,203,30,2.91,2024-07-05
78,American University of Sharjah,202401,STU202022936,784200399613742,Visiting,Khalid Al Kaabi,عائشة سالم,F,1971-02-05,sheikha.hassan982@institution.ac.ae,+9710569778852,Y,VI,YE,Umm Al Quwain,DB,Part-time,202401,MC,DIP,76.MC.1,FT,Inactive,Private,Assistant Engineer,202401,85,30,484,190,2.97,2025-01-27
78,American University of Sharjah,202501,STU202542300,784200476623481,Visiting,Ali Al Shamsi,حسن عبدالله,M,2000-06-14,ahmed.singh612@institution.ac.ae,+9710554780293,Y,VI,AE,Ajman,DB,Full-time,202501,MC,BA,76.MC.1,FT,Pending,Private,Assistant Engineer,202501,5,26,410,487,3.61,2022-12-26
76,Zayed University,202501,STU202146511,784199914561707,Visiting,Maitha Khan,فاطمة علي,F,1996-06-14,hamad.patel528@institution.ac.ae,+9710505862725,Y,VI,KW,Fujairah,DB,Full-time,202501,MC,CRT,76.MC.1,FT,In Progress,Private,Assistant Engineer,202501,12,5,446,423,2.49,2023-08-06
79,University of Sharjah,202403,STU202322431,784199865545542,Visiting,Hassan Patel,مريم أحمد,M,1973-05-02,majid.al.zaabi834@institution.ac.ae,+9710561393187,Y,VI,EG,Dubai,DB,Full-time,202403,MC,DIP,76.MC.1,FT,Active,Private,Assistant Engineer,202403,7,72,252,246,3.06,2020-07-17
83,British University in Dubai,202402,STU202217533,784199962860996,Visiting,Amna Al Mazrouei,فاطمة علي,F,1988-01-16,noura.al.zaabi566@institution.ac.ae,+9710542253052,Y,VI,IN,Abu Dhabi,DB,Full-time,202402,MC,PhD,76.MC.1,FT,Inactive,Private,Assistant Engineer,202402,69,23,496,60,2.33,2025-05-02
78,American University of Sharjah,202503,STU202014829,784200590882621,Visiting,Abdullah Al Shamsi,عائشة سالم,M,1974-01-19,noor.al.mansoori997@institution.ac.ae,+9710584307677,Y,VI,US,Umm Al Quwain,DB,Part-time,202503,MC,MBA,76.MC.1,FT,In Progress,Private,Assistant Engineer,202503,65,35,84,325,3.93,2020-11-09
82,American University in Dubai,202402,STU202119524,784200033526690,Visiting,Rashid Hassan,شما سلطان,F,1979-10-06,shamma.al.mansoori888@institution.ac.ae,+9710505520699,Y,VI,BH,Ajman,DB,Online,202402,MC,MA,76.MC.1,FT,Pending,Private,Assistant Engineer,202402,17,48,49,284,2.53,2020-10-07
76,Zayed University,202503,STU202212616,784199119986479,Visiting,Latifa Al Mansoori,أحمد محمد,M,1987-04-07,amna.khan189@institution.ac.ae,+9710581081425,Y,VI,US,Dubai,DB,Full-time,202503,MC,BA,76.MC.1,FT,Completed,Private,Assistant Engineer,202503,41,63,258,499,3.8,2025-09-25
83,British University in Dubai,202401,STU202130623,784200384400715,Visiting,Omar Al Mazrouei,مريم أحمد,F,1985-08-15,shamma.al.falasi240@institution.ac.ae,+9710562124819,Y,VI,YE,Ras Al Khaimah,DB,Part-time,202401,MC,MBA,76.MC.1,FT,In Progress,Private,Assistant Engineer,202401,24,47,189,301,2.65,2021-03-07
83,British University in Dubai,202503,STU202433978,784199556512384,Visiting,Sultan Al Dhaheri,محمد حسن,M,1982-03-05,omar.ahmed377@institution.ac.ae,+9710525170344,Y,VI,BD,Dubai,DB,Part-time,202503,MC,DIP,76.MC.1,FT,Inactive,Private,Assistant Engineer,202503,55,15,393,462,2.46,2021-08-07
77,Khalifa University,202401,STU202292317,784200140534551,Visiting,Fatima Al Mazrouei,حسن عبدالله,M,1986-11-28,majid.singh259@institution.ac.ae,+9710502693103,Y,VI,YE,Ras Al Khaimah,DB,Online,202401,MC,PhD,76.MC.1,FT,Inactive,Private,Assistant Engineer,202401,28,28,343,375,2.4,2025-08-09
77,Khalifa University,202403,STU202494246,784199582446174,Visiting,Hamad Al Mansoori,حسن عبدالله,M,1977-09-07,noor.singh112@institution.ac.ae,+9710584784420,Y,VI,PK,Dubai,DB,Online,202403,MC,BS,76.MC.1,FT,Active,Private,Assistant Engineer,202403,18,65,280,457,3.87,2021-05-26
84,Dubai Medical College,202503,STU202462036,784199923767968,Visiting,Maitha Ahmed,محمد حسن,F,1983-08-23,abdullah.al.kaabi70@institution.ac.ae,+9710566450939,Y,VI,US,Umm Al Quwain,DB,Full-time,202503,MC,MA,76.MC.1,FT,Inactive,Private,Assistant Engineer,202503,38,47,64,28,3.84,2022-09-30
75,United Arab Emirates University,202403,STU202071028,784199535808191,Visiting,Sultan Hassan,محمد حسن,M,1986-05-19,hassan.al.mazrouei318@institution.ac.ae,+9710529880691,Y,VI,CA,Dubai,DB,Full-time,202403,MC,BS,76.MC.1,FT,Pending,Private,Assistant Engineer,202403,1,98,95,312,2.34,2022-07-31
84,Dubai Medical College,202503,STU202312163,784199282249207,Visiting,Maitha Al Mazrouei,حسن عبدالله,F,2003-08-06,hassan.al.falasi971@institution.ac.ae,+9710509140945,Y,VI,GB,Fujairah,DB,Full-time,202503,MC,MS,76.MC.1,FT,Inactive,Private,Assistant Engineer,202503,76,49,477,166,3.8,2022-03-29
77,Khalifa University,202403,STU202044883,784199431078866,Visiting,Maryam Al Junaibi,حسن عبدالله,M,1990-03-08,hamad.al.falasi18@institution.ac.ae,+9710544995415,Y,VI,IN,Ras Al Khaimah,DB,Full-time,202403,MC,CRT,76.MC.1,FT,Inactive,Private,Assistant Engineer,202403,51,1,458,269,3.36,2021-03-02
75,United Arab Emirates University,202503,STU202592680,784199428264000,Visiting,Mohammed Al Falasi,خالد راشد,M,2005-06-15,amna.al.mansoori177@institution.ac.ae,+9710508957401,Y,VI,EG,Ras Al Khaimah,DB,Online,202503,MC,MBA,76.MC.1,FT,Completed,Private,Assistant Engineer,202503,76,67,211,364,3.87,2021-02-19
84,Dubai Medical College,202401,STU202372382,784199118295729,Visiting,Abdullah Al Mansoori,فاطمة علي,F,2004-06-25,omar.al.junaibi212@institution.ac.ae,+9710559246934,Y,VI,YE,Ras Al Khaimah,DB,Full-time,202401,MC,MBA,76.MC.1,FT,Pending,Private,Assistant Engineer,202401,7,89,204,126,3.82,2024-06-18
75,United Arab Emirates University,202402,STU202139496,784199317248018,Visiting,Fatima Al Falasi,فاطمة علي,F,1971-11-07,maitha.singh53@institution.ac.ae,+9710529040101,Y,VI,IN,Abu Dhabi,DB,Full-time,202402,MC,MBA,76.MC.1,FT,Active,Private,Assistant Engineer,202402,6,92,345,240,2.22,2022-01-01
