Enroll_Institution_Code,Enroll_Institution_Name,Enroll_Academic_Period,Enroll_Student_ID,Enroll_Al_Ethbara,Enroll_Emirates_ID,Enroll_Passport_Number,Enroll_Missing_EID,Enroll_Family_Book_Number,Enroll_Family_Number,Enroll_City_Number,Enroll_Student_Name_English,Enroll_Student_Name_Arabic,Enroll_Gender,Enroll_Student_DOB,Enroll_Student_Email_Address,Enroll_Student_Mobile_Number,Enroll_Health_Fitness_Certificate,Enroll_Special_Needs,Enroll_Marital_Status,Enroll_Nationality,Enroll_Nationality_of_Mother,Enroll_Home_Emirate,Enroll_Student_Campus,Enroll_Student_Type,Enroll_1st_Academic_Period,Enroll_Student_Level,Enroll_Student_Degree,Enroll_Area_of_Specialization,Enroll_Student_Major,Enroll_Major_CIP,Enroll_Minor,Enroll_Program_Code,Enroll_Mode_of_Study,Enroll_Employment_Status,Enroll_Employment_Sector,Enroll_Employment_Position,Enroll_Required_Academic_Period,Enroll_Required_Credits_Graduation,Enroll_Current_Registered_Credits,Enroll_Current_Pre-req_Credits,Enroll_Total_Credits_Registered,Enroll_Total_Credits_Cumulated,Enroll_GPA_Cumulative,Enroll_Transfer_Institution,Enroll_Transfer_Credits_Cumulative,Enroll_Language_Test_Name,Enroll_Language_Test_Date,Enroll_Language_Test_Score,Enroll_Standardized_Test_Name,Enroll_Standardized_Test_Score,Enroll_High_School_Country,Enroll_High_School_System,Enroll_High_School_Score,Enroll_Completion_Year_HSC,Enroll_High_School_Equivalency_Indicator,Enroll_HighSchool_Equivalency_Number,Enroll_12th_Grade_stream,Enroll_Last_completed_HE_Degree,Enroll_Qualifying_institution_Name,Enroll_Qualifying_institution_Country,Enroll_Qualifying_institution_Code,Enroll_Last_completed_HE_CGPA,Enroll_Last_completed_HE_Year,Enroll_Last_completed_HE_Equivalency_Indicator,Enroll_Last_HE_Equivalency_Number,Enroll_Outgoing_Exchange_Indicator,Enroll_Incoming_Exchange_Indicator,Enroll_Exchange_University_Code,Enroll_dual,Last_Updated
80,Abu Dhabi University,202401,STU202549414,58132,784200229985591,N94592896,Visiting,97,52,Fujairah,Fatima Al Dhaheri,فاطمة علي,M,1974-05-17,sultan.ahmed279@institution.ac.ae,+9710554463526,Y,VI,Inactive,EG,IQ,Ras Al Khaimah,DB,Part-time,202401,FR,MS,14,Software Development,11,Architecture,1.DR.10001,FT,Pending,Private,Assistant Engineer,202401,31,74,45,176,464,3.33,Abu Dhabi University,28,Khalid Al Falasi,2021-06-16,85.44,Ali Al Junaibi,85.97,139,BR,97.92,2024,Y,E334355,66.5,MBA,Abu Dhabi University,130,80,3.26,2024,N,xxxxxxxxx-xxxxxxx,Yes,No,34,Y,2020-07-05
76,Zayed University,202403,STU202287709,58132,784199342944288,N94592896,Visiting,4,39,Fujairah,Abdullah Al Kaabi,فاطمة علي,F,1985-05-03,salem.al.junaibi35@institution.ac.ae,+9710544528497,Y,VI,Pending,IN,PK,Ajman,DB,Part-time,202403,FR,BS,51,Software Development,26,Architecture,1.DR.10001,FT,In Progress,Private,Assistant Engineer,202403,53,7,51,446,421,3.99,Abu Dhabi University,5,Latifa Al Junaibi,2021-02-28,80.57,Fatima Khan,81.75,208,BR,78.44,2025,Y,E334355,66.31,DIP,Zayed University,343,76,3.93,2025,N,xxxxxxxxx-xxxxxxx,No,No,51,Y,2023-06-07
76,Zayed University,202501,STU202371796,58132,784199036355892,N94592896,Visiting,63,35,Umm Al Quwain,Omar Al Kaabi,علي خالد,F,1973-08-06,sultan.hassan962@institution.ac.ae,+9710548219383,Y,VI,Active,BH,US,Ras Al Khaimah,DB,Part-time,202501,FR,MBA,14,Software Development,03,Architecture,1.DR.10001,FT,Inactive,Private,Assistant Engineer,202501,50,1,99,412,198,2.36,Abu Dhabi University,20,Sheikha Al Falasi,2021-12-07,63.34,Sheikha Al Junaibi,71.26,167,BR,75.58,2025,Y,E334355,73.31,DIP,Zayed University,374,76,3.52,2024,N,xxxxxxxxx-xxxxxxx,Yes,Yes,35,Y,2021-04-18
84,Dubai Medical College,202501,STU202363894,58132,784199711287378,N94592896,Visiting,29,68,Fujairah,Hessa Khan,فاطمة علي,F,1986-11-28,sultan.hassan452@institution.ac.ae,+9710558750047,Y,VI,Completed,BD,IQ,Ajman,DB,Online,202501,FR,BA,23,Software Development,11,Architecture,1.DR.10001,FT,In Progress,Private,Assistant Engineer,202501,85,98,50,244,216,3.93,Abu Dhabi University,75,Noor Al Mansoori,2024-08-12,84.71,Fatima Khan,72.04,16,BR,94.99,2024,Y,E334355,84.75,MS,Dubai Medical College,101,84,3.68,2024,N,xxxxxxxxx-xxxxxxx,No,No,43,Y,2020-05-20
83,British University in Dubai,202501,STU202563225,58132,784199395487408,N94592896,Visiting,7,95,Sharjah,Noura Al Mazrouei,محمد حسن,F,1988-06-30,maitha.al.zaabi782@institution.ac.ae,+9710509393579,Y,VI,Active,QA,BH,Fujairah,DB,Online,202501,FR,BA,03,Software Development,16,Architecture,1.DR.10001,FT,In Progress,Private,Assistant Engineer,202501,58,26,45,488,473,2.67,Abu Dhabi University,46,Noor Al Mazrouei,2025-03-14,65.5,Sheikha Al Mehairbi,86.85,220,BR,91.23,2025,Y,E334355,97.41,BA,British University in Dubai,46,83,2.75,2025,N,xxxxxxxxx-xxxxxxx,Yes,No,47,Y,2021-04-30
80,Abu Dhabi University,202501,STU202476549,58132,784199963180133,N94592896,Visiting,62,35,Ajman,Hessa Al Mehairbi,حسن عبدالله,M,1992-03-31,noura.al.mansoori600@institution.ac.ae,+9710506652314,Y,VI,Inactive,SA,YE,Fujairah,DB,Full-time,202501,FR,BS,52,Software Development,03,Architecture,1.DR.10001,FT,Completed,Private,Assistant Engineer,202501,50,72,58,159,133,3.09,Abu Dhabi University,44,Sultan Ahmed,2023-04-05,84.48,Abdullah Al Dhaheri,96.07,307,BR,76.69,2025,Y,E334355,88.43,BS,Abu Dhabi University,166,80,3.3,2024,N,xxxxxxxxx-xxxxxxx,No,No,7,Y,2021-05-06
77,Khalifa University,202403,STU202440661,58132,784200269540946,N94592896,Visiting,22,78,Ajman,Ahmed Al Junaibi,حسن عبدالله,F,1970-03-10,abdullah.hassan221@institution.ac.ae,+9710544038109,Y,VI,Pending,PS,OM,Abu Dhabi,DB,Full-time,202403,FR,CRT,27,Software Development,23,Architecture,1.DR.10001,FT,Active,Private,Assistant Engineer,202403,82,96,83,399,53,3.44,Abu Dhabi University,76,Maryam Al Nuaimi,2022-08-17,68.12,Maryam Patel,72.2,139,BR,90.85,2025,Y,E334355,95.38,MBA,Khalifa University,60,77,3.45,2025,N,xxxxxxxxx-xxxxxxx,No,No,61,Y,2021-11-06
79,University of Sharjah,202502,STU202275049,58132,784200314141927,N94592896,Visiting,48,26,Ajman,Shamma Al Zaabi,عائشة سالم,F,2002-03-16,maitha.al.zaabi13@institution.ac.ae,+9710541180109,Y,VI,Active,SY,PS,Ras Al Khaimah,DB,Part-time,202502,FR,MA,01,Software Development,23,Architecture,1.DR.10001,FT,Pending,Private,Assistant Engineer,202502,53,60,49,64,422,3.78,Abu Dhabi University,52,Fatima Ahmed,2023-10-25,65.83,Maryam Al Kaabi,99.52,415,BR,72.25,2024,Y,E334355,85.68,MS,University of Sharjah,318,79,3.82,2025,N,xxxxxxxxx-xxxxxxx,No,Yes,23,Y,2022-10-21
82,American University in Dubai,202502,STU202438097,58132,784200347995218,N94592896,Visiting,73,97,Umm Al Quwain,Ahmed Khan,شما سلطان,M,1992-01-05,maryam.al.mehairbi298@institution.ac.ae,+9710559313984,Y,VI,Inactive,IN,LB,Sharjah,DB,Part-time,202502,FR,PhD,45,Software Development,43,Architecture,1.DR.10001,FT,Completed,Private,Assistant Engineer,202502,30,42,100,322,309,2.56,Abu Dhabi University,39,Mohammed Al Shamsi,2021-09-20,67.93,Ahmed Khan,92.1,433,BR,72.27,2025,Y,E334355,83.36,BS,American University in Dubai,44,82,3.89,2024,N,xxxxxxxxx-xxxxxxx,No,No,89,Y,2022-11-06
83,British University in Dubai,202502,STU202493648,58132,784199342313047,N94592896,Visiting,33,34,Dubai,Rashid Al Kaabi,حسن عبدالله,F,1977-08-10,noor.al.falasi979@institution.ac.ae,+9710551493154,Y,VI,Inactive,KW,OM,Umm Al Quwain,DB,Part-time,202502,FR,MBA,01,Software Development,01,Architecture,1.DR.10001,FT,Completed,Private,Assistant Engineer,202502,19,53,71,431,259,3.79,Abu Dhabi University,98,Sheikha Al Mazrouei,2024-05-14,60.11,Hessa Al Mehairbi,87.7,156,BR,77.42,2024,Y,E334355,72.33,CRT,British University in Dubai,359,83,2.25,2024,N,xxxxxxxxx-xxxxxxx,No,Yes,65,Y,2020-08-21
79,University of Sharjah,202501,STU202044673,58132,784199110513833,N94592896,Visiting,67,32,Umm Al Quwain,Mohammed Al Mansoori,محمد حسن,F,1994-02-05,majid.al.shamsi373@institution.ac.ae,+9710558662325,Y,VI,Active,GB,SA,Dubai,DB,Full-time,202501,FR,BA,54,Software Development,26,Architecture,1.DR.10001,FT,Pending,Private,Assistant Engineer,202501,77,3,1,303,268,2.04,Abu Dhabi University,29,Hessa Al Kaabi,2020-07-16,68.65,Sheikha Al Junaibi,71.65,116,BR,90.36,2025,Y,E334355,78.96,MBA,University of Sharjah,452,79,3.44,2025,N,xxxxxxxxx-xxxxxxx,No,Yes,49,Y,2020-10-16
82,American University in Dubai,202502,STU202579575,58132,784200080139142,N94592896,Visiting,26,74,Dubai,Amna Patel,نورة سعيد,F,1986-08-06,aisha.al.kaabi499@institution.ac.ae,+9710584663046,Y,VI,In Progress,IQ,EG,Dubai,DB,Part-time,202502,FR,PhD,26,Software Development,27,Architecture,1.DR.10001,FT,Inactive,Private,Assistant Engineer,202502,45,89,37,126,107,3.26,Abu Dhabi University,89,Latifa Al Shamsi,2022-04-04,60.83,Amna Al Mehairbi,68.44,210,BR,69.79,2024,Y,E334355,69.31,PhD,American University in Dubai,447,82,2.12,2024,N,xxxxxxxxx-xxxxxxx,No,No,17,Y,2023-04-18
83,British University in Dubai,202501,STU202564355,58132,784200246736003,N94592896,Visiting,55,43,Abu Dhabi,Ahmed Al Falasi,أحمد محمد,M,1986-11-18,noor.al.dhaheri979@institution.ac.ae,+9710563218627,Y,VI,Inactive,LB,SA,Umm Al Quwain,DB,Full-time,202501,FR,CRT,03,Software Development,42,Architecture,1.DR.10001,FT,Completed,Private,Assistant Engineer,202501,34,97,24,271,149,2.9,Abu Dhabi University,57,Hamad Patel,2023-10-20,96.84,Ali Khan,68.13,249,BR,76.02,2025,Y,E334355,98.33,BA,British University in Dubai,18,83,2.83,2024,N,xxxxxxxxx-xxxxxxx,No,Yes,39,Y,2024-06-18
82,American University in Dubai,202502,STU202520729,58132,784199727569581,N94592896,Visiting,58,14,Sharjah,Abdullah Al Mehairbi,علي خالد,M,1981-10-20,sara.al.junaibi246@institution.ac.ae,+9710522009718,Y,VI,Active,JO,YE,Umm Al Quwain,DB,Part-time,202502,FR,MA,43,Software Development,52,Architecture,1.DR.10001,FT,Pending,Private,Assistant Engineer,202502,32,50,84,495,342,3.45,Abu Dhabi University,5,Rashid Patel,2025-10-12,67.48,Hamad Al Falasi,65.52,152,BR,81.27,2024,Y,E334355,98.57,MA,American University in Dubai,244,82,3.39,2025,N,xxxxxxxxx-xxxxxxx,No,No,69,Y,2024-02-09
77,Khalifa University,202402,STU202568410,58132,784199626783988,N94592896,Visiting,74,18,Abu Dhabi,Maitha Singh,خالد راشد,M,1988-02-28,rashid.al.falasi412@institution.ac.ae,+9710555537261,Y,VI,In Progress,PK,PK,Fujairah,DB,Part-time,202402,FR,MS,24,Software Development,11,Architecture,1.DR.10001,FT,Pending,Private,Assistant Engineer,202402,24,30,60,115,80,2.89,Abu Dhabi University,58,Abdullah Patel,2021-02-09,60.84,Sultan Singh,97.36,295,BR,75.71,2025,Y,E334355,89.3,PhD,Khalifa University,188,77,2.22,2025,N,xxxxxxxxx-xxxxxxx,No,No,31,Y,2025-04-11
83,British University in Dubai,202501,STU202088329,58132,784199253118572,N94592896,Visiting,66,12,Fujairah,Hassan Al Junaibi,عائشة سالم,F,2004-04-06,noor.khan432@institution.ac.ae,+9710559301243,Y,VI,Active,AE,IN,Dubai,DB,Full-time,202501,FR,PhD,54,Software Development,01,Architecture,1.DR.10001,FT,Active,Private,Assistant Engineer,202501,25,60,40,59,346,2.43,Abu Dhabi University,63,Hessa Al Zaabi,2025-05-30,75.64,Maryam Al Dhaheri,95.2,335,BR,85.06,2024,Y,E334355,72.44,MS,British University in Dubai,379,83,3.12,2024,N,xxxxxxxxx-xxxxxxx,Yes,No,20,Y,2025-11-13
78,American University of Sharjah,202401,STU202394963,58132,784199188361906,N94592896,Visiting,94,96,Ajman,Abdullah Patel,حسن عبدالله,F,1999-01-24,hamad.al.kaabi129@institution.ac.ae,+9710546237208,Y,VI,Active,PK,OM,Ajman,DB,Part-time,202401,FR,MS,27,Software Development,52,Architecture,1.DR.10001,FT,Completed,Private,Assistant Engineer,202401,18,74,44,106,41,3.55,Abu Dhabi University,95,Noor Al Shamsi,2020-05-25,80.0,Noor Khan,64.28,121,BR,60.63,2025,Y,E334355,78.99,BS,American University of Sharjah,488,78,3.85,2024,N,xxxxxxxxx-xxxxxxx,Yes,No,55,Y,2024-08-08
75,United Arab Emirates University,202502,STU202294166,58132,784199024949848,N94592896,Visiting,74,58,Dubai,Ahmed Patel,محمد حسن,F,1986-10-21,latifa.al.zaabi449@institution.ac.ae,+9710589842472,Y,VI,Pending,OM,PK,Ajman,DB,Online,202502,FR,MA,03,Software Development,42,Architecture,1.DR.10001,FT,Completed,Private,Assistant Engineer,202502,39,30,1,479,20,2.84,Abu Dhabi University,96,Noor Al Nuaimi,2023-08-11,99.26,Noura Al Dhaheri,96.65,84,BR,63.03,2024,Y,E334355,95.63,BA,United Arab Emirates University,15,75,2.41,2024,N,xxxxxxxxx-xxxxxxx,No,Yes,88,Y,2020-02-01
78,American University of Sharjah,202402,STU202568757,58132,784200316851930,N94592896,Visiting,4,10,Dubai,Aisha Singh,أحمد محمد,F,1989-11-21,hamad.al.mehairbi601@institution.ac.ae,+9710563920641,Y,VI,Pending,KW,BD,Umm Al Quwain,DB,Online,202402,FR,PhD,51,Software Development,27,Architecture,1.DR.10001,FT,In Progress,Private,Assistant Engineer,202402,53,44,10,415,330,3.2,Abu Dhabi University,36,Sara Al Shamsi,2025-09-01,85.23,Latifa Al Kaabi,70.83,433,BR,74.69,2024,Y,E334355,61.4,BS,American University of Sharjah,341,78,3.32,2024,N,xxxxxxxxx-xxxxxxx,No,Yes,86,Y,2021-03-21
76,Zayed University,202401,STU202250213,58132,784200495815056,N94592896,Visiting,25,5,Ras Al Khaimah,Majid Al Shamsi,مريم أحمد,F,1974-06-17,sara.al.shamsi175@institution.ac.ae,+9710582319495,Y,VI,In Progress,LB,BH,Fujairah,DB,Online,202401,FR,MBA,13,Software Development,50,Architecture,1.DR.10001,FT,In Progress,Private,Assistant Engineer,202401,72,41,76,308,90,3.22,Abu Dhabi University,47,Noor Al Kaabi,2022-02-17,65.79,Sheikha Al Nuaimi,86.31,40,BR,99.55,2025,Y,E334355,76.7,BA,Zayed University,454,76,2.92,2025,N,xxxxxxxxx-xxxxxxx,No,No,44,Y,2020-04-21
84,Dubai Medical College,202402,STU202325660,58132,784199881109713,N94592896,Visiting,96,33,Ras Al Khaimah,Mohammed Patel,نورة سعيد,F,1970-11-20,fatima.al.kaabi617@institution.ac.ae,+9710552003570,Y,VI,Inactive,BD,OM,Dubai,DB,Full-time,202402,FR,DIP,50,Software Development,16,Architecture,1.DR.10001,FT,In Progress,Private,Assistant Engineer,202402,81,22,56,78,437,2.99,Abu Dhabi University,62,Noor Al Dhaheri,2020-02-03,80.79,Shamma Al Zaabi,87.49,302,BR,61.94,2024,Y,E334355,75.35,CRT,Dubai Medical College,209,84,3.72,2024,N,xxxxxxxxx-xxxxxxx,Yes,Yes,70,Y,2024-07-29
79,University of Sharjah,202402,STU202058406,58132,784199310781136,N94592896,Visiting,71,23,Fujairah,Shamma Al Dhaheri,خالد راشد,M,1999-07-12,sara.al.mazrouei856@institution.ac.ae,+9710581110009,Y,VI,Inactive,JO,LB,Dubai,DB,Online,202402,FR,DIP,14,Software Development,40,Architecture,1.DR.10001,FT,Active,Private,Assistant Engineer,202402,27,84,38,222,425,3.5,Abu Dhabi University,2,Khalid Khan,2020-06-04,67.63,Omar Al Mazrouei,76.5,114,BR,86.23,2025,Y,E334355,79.63,MS,University of Sharjah,109,79,3.57,2025,N,xxxxxxxxx-xxxxxxx,Yes,No,76,Y,2025-08-03
76,Zayed University,202402,STU202090078,58132,784199696738309,N94592896,Visiting,48,41,Abu Dhabi,Hamad Hassan,مريم أحمد,M,1977-02-10,majid.al.junaibi574@institution.ac.ae,+9710542467972,Y,VI,Active,US,OM,Abu Dhabi,DB,Online,202402,FR,MS,42,Software Development,05,Architecture,1.DR.10001,FT,In Progress,Private,Assistant Engineer,202402,26,28,14,165,493,3.04,Abu Dhabi University,64,Abdullah Al Mehairbi,2021-07-26,76.09,Ahmed Al Falasi,89.22,130,BR,85.83,2024,Y,E334355,62.86,DIP,Zayed University,429,76,2.3,2024,N,xxxxxxxxx-xxxxxxx,Yes,No,83,Y,2023-08-11
79,University of Sharjah,202403,STU202281156,58132,784200052286230,N94592896,Visiting,26,54,Dubai,Saeed Al Junaibi,مريم أحمد,M,1978-11-04,saeed.al.zaabi603@institution.ac.ae,+9710507622565,Y,VI,Inactive,AE,SY,Fujairah,DB,Part-time,202403,FR,DIP,26,Software Development,11,Architecture,1.DR.10001,FT,Active,Private,Assistant Engineer,202403,66,23,44,166,417,3.86,Abu Dhabi University,16,Omar Al Mansoori,2021-02-10,93.27,Khalid Singh,73.66,413,BR,80.05,2024,Y,E334355,71.89,BA,University of Sharjah,449,79,3.96,2025,N,xxxxxxxxx-xxxxxxx,Yes,No,33,Y,2024-11-16
79,University of Sharjah,202503,STU202366103,58132,784200583712506,N94592896,Visiting,72,35,Ras Al Khaimah,Hessa Al Mehairbi,عائشة سالم,F,1985-09-03,rashid.al.mazrouei976@institution.ac.ae,+9710554708120,Y,VI,Completed,AE,IQ,Umm Al Quwain,DB,Part-time,202503,FR,PhD,15,Software Development,01,Architecture,1.DR.10001,FT,In Progress,Private,Assistant Engineer,202503,30,83,37,375,398,2.68,Abu Dhabi University,32,Sara Singh,2020-02-10,92.05,Maryam Singh,60.76,467,BR,80.35,2024,Y,E334355,74.61,BS,University of Sharjah,361,79,3.62,2025,N,xxxxxxxxx-xxxxxxx,No,No,91,Y,2025-11-19
