Grad_Institution_Code,Grad_Institution_Name,Grad_Academic_Period,Grad_Student_ID,Grad_Al_Ethbara,Grad_Emirates_ID,Grad_Missing_EID,Grad_Passport_Number,Grad_Student_Name_English,Grad_Student_Name_Arabic,Grad_Gender,Grad_Student_DOB,Grad_Student_Email_Address,Grad_Student_Mobile_Number,Grad_Health_Fitness_Certificate,Grad_Marital_Status_Code,Grad_Nationality,Grad_Nationality_of_Mother,Grad_Home_Emirate,Grad_Student_Campus,Grad_1st_Academic_Period,Grad_Student_Degree,Grad_Area_of_Specialization,Grad_Student_Major,Grad_Major_CIP,Grad_Minor,Grad_Program_Code,Grad_Mode_of_Study,Grad_Master_Thesis_Title,Grad_PhD_Dissertation_Title,Grad_Total_Credits_Cumulated,Grad_GPA_Cumulative,Grad_Total_Academic_Periods_Regular,Grad_Total_Academic_Periods_Supplementary,Grad_Submission_Term,Grad_LC,Grad_Workplacement,Last_Updated
78,American University of Sharjah,202503,STU202181693,100278,784200074710998,Marsoom,N94592896,Noura Khan,محمد حسن,F,1984-06-15,sultan.khan213@institution.ac.ae,+9710524255507,Y,Active,BD,QA,Fujairah,AD,202503,MA,45,Software Development,13,Architecture,1.DR.10001,FT,Principles of Nursing,Introduction to Business Administration,430,3.85,202503,202503,202403,Y,Y,2023-08-22
81,Ajman University,202402,STU202496336,100278,784199065556202,Marsoom,N94592896,Saeed Al Zaabi,محمد حسن,M,1981-03-20,omar.hassan586@institution.ac.ae,+9710506727670,Y,Pending,LB,BH,Ras Al Khaimah,AD,202402,MS,01,Software Development,16,Architecture,1.DR.10001,FT,Applied Mechanical Engineering,Applied Arabic Studies,253,2.8,202402,202402,202403,Y,Y,2021-10-25
77,Khalifa University,202501,STU202148074,100278,784200285379224,Marsoom,N94592896,Khalid Al Zaabi,خالد راشد,M,1984-11-23,mohammed.al.falasi698@institution.ac.ae,+9710584471655,Y,Pending,IN,AE,Sharjah,AD,202501,PhD,40,Software Development,24,Architecture,1.DR.10001,FT,Applied Law,Applied Civil Engineering,178,3.45,202501,202501,202403,Y,Y,2024-09-21
79,University of Sharjah,202501,STU202130382,100278,784199237841797,Marsoom,N94592896,Omar Khan,شما سلطان,M,1971-04-15,salem.al.kaabi318@institution.ac.ae,+9710588766535,Y,Active,BD,EG,Fujairah,AD,202501,BS,09,Software Development,15,Architecture,1.DR.10001,FT,Principles of Medicine,Principles of Economics,158,2.74,202501,202501,202403,Y,Y,2025-11-15
82,American University in Dubai,202403,STU202057930,100278,784199588439926,Marsoom,N94592896,Maitha Al Zaabi,مريم أحمد,M,1986-06-07,sultan.al.nuaimi252@institution.ac.ae,+9710522222306,Y,Inactive,SA,IN,Sharjah,AD,202403,BS,04,Software Development,05,Architecture,1.DR.10001,FT,Applied Business Administration,Applied Computer Science,121,3.81,202403,202403,202403,Y,Y,2025-12-07
77,Khalifa University,202503,STU202467003,100278,784199985660500,Marsoom,N94592896,Rashid Al Nuaimi,خالد راشد,F,1972-07-28,saeed.al.nuaimi512@institution.ac.ae,+9710546895426,Y,Active,GB,CA,Sharjah,AD,202503,DIP,09,Software Development,16,Architecture,1.DR.10001,FT,Advanced Mathematics,Introduction to Education,428,3.84,202503,202503,202403,Y,Y,2023-05-09
82,American University in Dubai,202502,STU202134303,100278,784199242241686,Marsoom,N94592896,Hassan Al Falasi,حسن عبدالله,M,1974-06-07,amna.al.kaabi201@institution.ac.ae,+9710543908699,Y,Inactive,SY,QA,Sharjah,AD,202502,MS,01,Software Development,54,Architecture,1.DR.10001,FT,Advanced English Literature,Principles of Medicine,406,3.11,202502,202502,202403,Y,Y,2020-01-01
76,Zayed University,202401,STU202585122,100278,784199466913964,Marsoom,N94592896,Rashid Hassan,خالد راشد,M,1983-03-23,sultan.al.mehairbi854@institution.ac.ae,+9710555630603,Y,Active,OM,OM,Abu Dhabi,AD,202401,PhD,54,Software Development,51,Architecture,1.DR.10001,FT,Advanced Economics,Applied Marketing,106,2.77,202401,202401,202403,Y,Y,2024-10-22
82,American University in Dubai,202401,STU202033032,100278,784199565821197,Marsoom,N94592896,Abdullah Hassan,شما سلطان,F,2004-11-07,maryam.singh615@institution.ac.ae,+9710587928649,Y,Inactive,BH,KW,Dubai,AD,202401,PhD,01,Software Development,23,Architecture,1.DR.10001,FT,Introduction to Mechanical Engineering,Applied History,74,3.98,202401,202401,202403,Y,Y,2020-07-09
81,Ajman University,202403,STU202136330,100278,784199565583788,Marsoom,N94592896,Saeed Al Shamsi,شما سلطان,F,1998-10-02,hessa.khan947@institution.ac.ae,+9710589460793,Y,Completed,EG,EG,Ajman,AD,202403,BS,51,Software Development,14,Architecture,1.DR.10001,FT,Principles of Medicine,Applied Mechanical Engineering,126,2.4,202403,202403,202403,Y,Y,2025-01-18
79,University of Sharjah,202402,STU202443912,100278,784200179937129,Marsoom,N94592896,Omar Al Mehairbi,محمد حسن,M,1989-03-14,hassan.al.kaabi954@institution.ac.ae,+9710563188634,Y,Inactive,KW,QA,Dubai,AD,202402,MA,23,Software Development,51,Architecture,1.DR.10001,FT,Principles of Chemistry,Advanced Arabic Studies,483,2.87,202402,202402,202403,Y,Y,2025-01-09
80,Abu Dhabi University,202402,STU202415535,100278,784199632320453,Marsoom,N94592896,Ahmed Ahmed,خالد راشد,F,1999-02-14,abdullah.al.dhaheri689@institution.ac.ae,+9710541014253,Y,In Progress,PS,PK,Abu Dhabi,AD,202402,PhD,01,Software Development,14,Architecture,1.DR.10001,FT,Advanced English Literature,Principles of Education,445,2.31,202402,202402,202403,Y,Y,2025-02-01
75,United Arab Emirates University,202502,STU202476150,100278,784200172402582,Marsoom,N94592896,Amna Al Kaabi,عائشة سالم,M,2001-08-20,hessa.khan338@institution.ac.ae,+9710501573681,Y,Inactive,LB,BH,Ras Al Khaimah,AD,202502,BA,05,Software Development,54,Architecture,1.DR.10001,FT,Advanced Education,Principles of Computer Science,241,2.22,202502,202502,202403,Y,Y,2023-08-03
84,Dubai Medical College,202402,STU202315288,100278,784199457765247,Marsoom,N94592896,Hessa Al Mazrouei,حسن عبدالله,M,1979-08-28,fatima.al.zaabi713@institution.ac.ae,+9710563588824,Y,Completed,LB,EG,Sharjah,AD,202402,PhD,13,Software Development,13,Architecture,1.DR.10001,FT,Introduction to Computer Science,Advanced English Literature,292,3.86,202402,202402,202403,Y,Y,2025-01-23
78,American University of Sharjah,202402,STU202072984,100278,784200283480789,Marsoom,N94592896,Noor Al Junaibi,فاطمة علي,F,1982-11-07,saeed.al.mehairbi458@institution.ac.ae,+9710503308017,Y,In Progress,YE,SY,Umm Al Quwain,AD,202402,MBA,27,Software Development,54,Architecture,1.DR.10001,FT,Principles of Chemistry,Advanced Nursing,396,3.88,202402,202402,202403,Y,Y,2024-10-14
75,United Arab Emirates University,202502,STU202347749,100278,784200567137929,Marsoom,N94592896,Noura Al Mehairbi,شما سلطان,M,1985-11-07,latifa.al.mehairbi352@institution.ac.ae,+9710582297379,Y,Pending,SY,CA,Abu Dhabi,AD,202502,MS,26,Software Development,13,Architecture,1.DR.10001,FT,Applied Medicine,Introduction to Business Administration,303,3.39,202502,202502,202403,Y,Y,2023-02-02
78,American University of Sharjah,202502,STU202064710,100278,784199319554609,Marsoom,N94592896,Noor Khan,محمد حسن,F,1992-03-20,rashid.al.shamsi711@institution.ac.ae,+9710523243154,Y,Active,IN,LB,Fujairah,AD,202502,MBA,13,Software Development,09,Architecture,1.DR.10001,FT,Advanced Architecture,Applied Electrical Engineering,379,3.85,202502,202502,202403,Y,Y,2022-11-05
76,Zayed University,202402,STU202173615,100278,784200083719706,Marsoom,N94592896,Fatima Al Dhaheri,نورة سعيد,M,1976-10-13,abdullah.al.dhaheri638@institution.ac.ae,+9710584634584,Y,Active,YE,IQ,Abu Dhabi,AD,202402,PhD,43,Software Development,43,Architecture,1.DR.10001,FT,Introduction to Accounting,Introduction to Islamic Studies,465,2.34,202402,202402,202403,Y,Y,2024-06-21
79,University of Sharjah,202402,STU202158251,100278,784200171306489,Marsoom,N94592896,Aisha Khan,نورة سعيد,M,1981-06-27,noor.al.nuaimi596@institution.ac.ae,+9710504875473,Y,Completed,IN,QA,Ajman,AD,202402,MS,24,Software Development,24,Architecture,1.DR.10001,FT,Applied Civil Engineering,Advanced Electrical Engineering,250,2.32,202402,202402,202403,Y,Y,2021-12-28
77,Khalifa University,202402,STU202034030,100278,784200035331238,Marsoom,N94592896,Shamma Al Mazrouei,شما سلطان,F,1988-09-02,maitha.patel498@institution.ac.ae,+9710523590716,Y,Active,US,PS,Ras Al Khaimah,AD,202402,MBA,24,Software Development,54,Architecture,1.DR.10001,FT,Principles of Chemistry,Principles of Medicine,136,2.73,202402,202402,202403,Y,Y,2022-04-15
84,Dubai Medical College,202503,STU202563858,100278,784200063572261,Marsoom,N94592896,Abdullah Al Falasi,محمد حسن,F,1978-09-20,saeed.hassan791@institution.ac.ae,+9710527624007,Y,Active,OM,OM,Umm Al Quwain,AD,202503,DIP,50,Software Development,23,Architecture,1.DR.10001,FT,Advanced Electrical Engineering,Introduction to Computer Science,388,3.18,202503,202503,202403,Y,Y,2021-04-22
76,Zayed University,202502,STU202057962,100278,784199991026698,Marsoom,N94592896,Abdullah Al Nuaimi,حسن عبدالله,M,1992-08-29,shamma.al.zaabi944@institution.ac.ae,+9710554816509,Y,Pending,PK,AE,Ras Al Khaimah,AD,202502,BA,26,Software Development,16,Architecture,1.DR.10001,FT,Principles of Business Administration,Introduction to Finance,98,3.07,202502,202502,202403,Y,Y,2020-02-05
76,Zayed University,202503,STU202115156,100278,784200277872777,Marsoom,N94592896,Sultan Al Dhaheri,شما سلطان,M,1980-06-19,mohammed.al.nuaimi426@institution.ac.ae,+9710528590766,Y,In Progress,LB,LB,Abu Dhabi,AD,202503,BA,54,Software Development,45,Architecture,1.DR.10001,FT,Applied Medicine,Principles of Accounting,500,3.39,202503,202503,202403,Y,Y,2023-07-04
78,American University of Sharjah,202401,STU202176719,100278,784199720227697,Marsoom,N94592896,Hassan Al Mansoori,مريم أحمد,M,1991-09-02,ahmed.ahmed962@institution.ac.ae,+9710566755960,Y,Completed,YE,YE,Ras Al Khaimah,AD,202401,MS,15,Software Development,13,Architecture,1.DR.10001,FT,Introduction to Chemistry,Applied Medicine,259,2.75,202401,202401,202403,Y,Y,2024-11-03
81,Ajman University,202403,STU202291103,100278,784200369252380,Marsoom,N94592896,Latifa Khan,عائشة سالم,M,1999-06-25,rashid.al.kaabi946@institution.ac.ae,+9710542592671,Y,In Progress,SY,QA,Fujairah,AD,202403,MBA,26,Software Development,54,Architecture,1.DR.10001,FT,Introduction to Civil Engineering,Introduction to English Literature,14,2.05,202403,202403,202403,Y,Y,2021-07-03
76,Zayed University,202501,STU202590643,100278,784200435863469,Marsoom,N94592896,Amna Al Falasi,أحمد محمد,M,1981-12-05,noura.al.mansoori6@institution.ac.ae,+9710523084413,Y,Active,EG,QA,Fujairah,AD,202501,MBA,16,Software Development,09,Architecture,1.DR.10001,FT,Applied Law,Advanced Nursing,373,3.25,202501,202501,202403,Y,Y,2024-08-30
79,University of Sharjah,202501,STU202364372,100278,784200533369681,Marsoom,N94592896,Mohammed Singh,أحمد محمد,F,1983-07-19,sara.al.shamsi384@institution.ac.ae,+9710527803978,Y,In Progress,BD,EG,Ras Al Khaimah,AD,202501,DIP,50,Software Development,04,Architecture,1.DR.10001,FT,Principles of Arabic Studies,Introduction to Arabic Studies,400,2.98,202501,202501,202403,Y,Y,2025-10-17
80,Abu Dhabi University,202401,STU202070594,100278,784199688090086,Marsoom,N94592896,Hamad Khan,محمد حسن,F,1996-06-11,ahmed.al.mazrouei146@institution.ac.ae,+9710551653743,Y,Inactive,US,YE,Abu Dhabi,AD,202401,BA,04,Software Development,15,Architecture,1.DR.10001,FT,Applied Economics,Principles of Civil Engineering,315,2.01,202401,202401,202403,Y,Y,2021-03-06
81,Ajman University,202502,STU202247377,100278,784199916776268,Marsoom,N94592896,Khalid Patel,عائشة سالم,F,1980-03-23,abdullah.al.mehairbi202@institution.ac.ae,+9710558428942,Y,Inactive,LB,CA,Ajman,AD,202502,MBA,05,Software Development,43,Architecture,1.DR.10001,FT,Introduction to Marketing,Principles of Nursing,30,2.72,202502,202502,202403,Y,Y,2022-01-31
78,American University of Sharjah,202502,STU202139782,100278,784199921207807,Marsoom,N94592896,Abdullah Al Kaabi,مريم أحمد,M,2005-10-11,sara.al.falasi877@institution.ac.ae,+9710507680314,Y,In Progress,US,CA,Fujairah,AD,202502,BA,24,Software Development,05,Architecture,1.DR.10001,FT,Advanced Islamic Studies,Advanced History,184,3.45,202502,202502,202403,Y,Y,2024-04-11
83,British University in Dubai,202501,STU202166899,100278,784199435256261,Marsoom,N94592896,Shamma Khan,حسن عبدالله,M,1985-03-07,ali.singh269@institution.ac.ae,+9710525810338,Y,Completed,KW,YE,Ajman,AD,202501,MS,26,Software Development,24,Architecture,1.DR.10001,FT,Introduction to Computer Science,Introduction to History,69,3.6,202501,202501,202403,Y,Y,2021-04-20
75,United Arab Emirates University,202503,STU202026516,100278,784200288037480,Marsoom,N94592896,Omar Al Nuaimi,أحمد محمد,F,1990-01-06,abdullah.al.junaibi990@institution.ac.ae,+9710545728711,Y,Pending,LB,GB,Dubai,AD,202503,PhD,50,Software Development,09,Architecture,1.DR.10001,FT,Principles of Law,Applied Accounting,109,2.81,202503,202503,202403,Y,Y,2022-07-11
80,Abu Dhabi University,202503,STU202599563,100278,784200045370361,Marsoom,N94592896,Amna Hassan,عائشة سالم,F,1978-05-27,hessa.patel563@institution.ac.ae,+9710507173973,Y,Inactive,PS,BH,Sharjah,AD,202503,BA,45,Software Development,09,Architecture,1.DR.10001,FT,Applied Business Administration,Advanced Electrical Engineering,405,2.5,202503,202503,202403,Y,Y,2023-09-27
80,Abu Dhabi University,202401,STU202564448,100278,784199878580902,Marsoom,N94592896,Hassan Al Mazrouei,فاطمة علي,M,1980-11-09,khalid.al.mansoori622@institution.ac.ae,+9710522660634,Y,Pending,CA,PK,Umm Al Quwain,AD,202401,BS,24,Software Development,09,Architecture,1.DR.10001,FT,Introduction to Mathematics,Advanced Islamic Studies,431,3.81,202401,202401,202403,Y,Y,2022-07-02
78,American University of Sharjah,202502,STU202539201,100278,784200291410796,Marsoom,N94592896,Hessa Al Nuaimi,مريم أحمد,M,1990-06-11,noura.al.dhaheri629@institution.ac.ae,+9710548754788,Y,Completed,US,PS,Umm Al Quwain,AD,202502,BS,51,Software Development,54,Architecture,1.DR.10001,FT,Introduction to Electrical Engineering,Advanced Arabic Studies,276,3.44,202502,202502,202403,Y,Y,2023-11-25
77,Khalifa University,202502,STU202065461,100278,784199475013377,Marsoom,N94592896,Latifa Hassan,علي خالد,M,2003-04-13,aisha.al.mansoori429@institution.ac.ae,+9710551369183,Y,Inactive,JO,CA,Ras Al Khaimah,AD,202502,MA,24,Software Development,23,Architecture,1.DR.10001,FT,Advanced Chemistry,Principles of Civil Engineering,429,3.94,202502,202502,202403,Y,Y,2020-10-20
82,American University in Dubai,202401,STU202396130,100278,784199485246893,Marsoom,N94592896,Sultan Hassan,حسن عبدالله,F,1983-07-05,abdullah.al.mansoori866@institution.ac.ae,+9710529433088,Y,Inactive,QA,US,Ajman,AD,202401,BA,24,Software Development,09,Architecture,1.DR.10001,FT,Introduction to Architecture,Applied Accounting,387,2.12,202401,202401,202403,Y,Y,2020-05-03
81,Ajman University,202501,STU202356713,100278,784199345679707,Marsoom,N94592896,Sara Al Nuaimi,شما سلطان,M,2002-03-29,rashid.khan640@institution.ac.ae,+9710501932339,Y,In Progress,JO,KW,Ras Al Khaimah,AD,202501,PhD,01,Software Development,03,Architecture,1.DR.10001,FT,Advanced Education,Principles of Finance,404,3.07,202501,202501,202403,Y,Y,2023-10-05
77,Khalifa University,202503,STU202227712,100278,784200211292496,Marsoom,N94592896,Salem Al Mehairbi,حسن عبدالله,F,1991-03-09,hassan.al.shamsi604@institution.ac.ae,+9710526046822,Y,Inactive,LB,JO,Umm Al Quwain,AD,202503,BA,03,Software Development,27,Architecture,1.DR.10001,FT,Advanced Mechanical Engineering,Advanced Mechanical Engineering,368,3.95,202503,202503,202403,Y,Y,2023-08-09
77,Khalifa University,202503,STU202482889,100278,784199321616102,Marsoom,N94592896,Noor Singh,شما سلطان,M,1999-10-23,latifa.al.mansoori576@institution.ac.ae,+9710504355413,Y,In Progress,KW,OM,Umm Al Quwain,AD,202503,CRT,24,Software Development,43,Architecture,1.DR.10001,FT,Principles of Economics,Principles of Mathematics,98,3.01,202503,202503,202403,Y,Y,2025-01-01
